Local(ms), External(ms)
1.8519999999999999,20.04
1.8539999999999999,20.5
1.884,20.52
1.886,20.54
1.8920000000000001,20.619999999999997
1.8920000000000001,20.62
1.92,20.7
1.922,20.76
1.9440000000000002,20.78
1.9479999999999997,20.82
1.9620000000000002,20.84
1.966,20.86
1.97,20.880000000000003
1.9739999999999998,20.9
1.982,20.9
1.984,20.919999999999998
1.986,20.96
1.9920000000000002,20.98
1.9940000000000002,21.02
1.9940000000000002,21.04
1.996,21.080000000000002
2.0,21.1
2.0,21.1
2.002,21.12
2.002,21.139999999999997
2.006,21.139999999999997
2.008,21.159999999999997
2.0140000000000002,21.18
2.018,21.18
2.0200000000000005,21.2
2.022,21.22
2.026,21.220000000000002
2.028,21.220000000000002
2.0300000000000002,21.259999999999998
2.036,21.26
2.038,21.279999999999998
2.0420000000000003,21.339999999999996
2.0420000000000003,21.34
2.0439999999999996,21.380000000000003
2.0460000000000003,21.380000000000003
2.054,21.439999999999998
2.056,21.440000000000005
2.06,21.440000000000005
2.0679999999999996,21.52
2.07,21.54
2.07,21.560000000000002
2.078,21.58
2.082,21.580000000000002
2.082,21.580000000000002
2.082,21.6
2.082,21.619999999999997
2.088,21.639999999999997
2.09,21.64
2.092,21.64
2.0940000000000003,21.68
2.096,21.68
2.098,21.7
2.0980000000000003,21.7
2.1,21.72
2.1,21.720000000000002
2.1079999999999997,21.76
2.108,21.779999999999998
2.11,21.78
2.1119999999999997,21.8
2.1119999999999997,21.82
2.112,21.84
2.114,21.880000000000003
2.1160000000000005,21.9
2.12,21.919999999999998
2.1260000000000003,21.92
2.132,21.92
2.134,21.94
2.134,21.96
2.136,22.02
2.136,22.04
2.1399999999999997,22.06
2.144,22.080000000000002
2.15,22.080000000000002
2.154,22.119999999999997
2.158,22.119999999999997
2.162,22.139999999999997
2.17,22.139999999999997
2.17,22.16
2.172,22.18
2.174,22.18
2.1799999999999997,22.18
2.1819999999999995,22.2
2.182,22.2
2.196,22.22
2.208,22.220000000000002
2.21,22.220000000000002
2.214,22.24
2.22,22.279999999999998
2.226,22.28
2.228,22.28
2.232,22.28
2.238,22.28
2.242,22.3
2.248,22.3
2.26,22.32
2.26,22.32
2.268,22.32
2.268,22.359999999999996
2.27,22.360000000000003
2.2700000000000005,22.380000000000003
2.272,22.380000000000003
2.272,22.4
2.274,22.42
2.2960000000000003,22.42
2.2979999999999996,22.44
2.316,22.44
2.332,22.44
2.332,22.44
2.332,22.440000000000005
2.332,22.440000000000005
2.336,22.52
2.3360000000000003,22.54
2.338,22.56
2.34,22.58
2.348,22.659999999999997
2.358,22.660000000000004
2.3619999999999997,22.68
2.3659999999999997,22.68
2.368,22.74
2.368,22.740000000000002
2.368,22.740000000000002
2.37,22.759999999999998
2.37,22.78
2.3840000000000003,22.8
2.4,22.839999999999996
2.406,22.839999999999996
2.412,22.840000000000003
2.4159999999999995,22.880000000000003
2.418,22.9
2.418,22.919999999999998
2.418,22.939999999999998
2.436,22.940000000000005
2.438,22.959999999999997
2.44,23.0
2.444,23.0
2.444,23.02
2.4539999999999997,23.02
2.4579999999999997,23.08
2.458,23.099999999999998
2.46,23.1
2.46,23.24
2.46,23.28
2.466,23.28
2.466,23.28
2.472,23.299999999999997
2.478,23.3
2.482,23.359999999999996
2.488,23.359999999999996
2.4959999999999996,23.360000000000003
2.4979999999999998,23.4
2.498,23.4
2.504,23.44
2.504,23.540000000000003
2.508,23.580000000000002
2.52,23.7
2.52,23.759999999999998
2.5279999999999996,23.759999999999998
2.528,23.76
2.528,23.8
2.534,23.9
2.534,23.919999999999998
2.534,23.94
2.5359999999999996,23.98
2.5380000000000003,24.0
2.5460000000000003,24.019999999999996
2.5460000000000003,24.02
2.55,24.06
2.5620000000000003,24.06
2.5620000000000003,24.060000000000002
2.5660000000000003,24.119999999999997
2.568,24.140000000000004
2.568,24.18
2.5699999999999994,24.18
2.57,24.2
2.5799999999999996,24.240000000000002
2.59,24.240000000000002
2.5900000000000003,24.48
2.6,24.68
2.6020000000000003,24.74
2.604,24.92
2.606,25.04
2.6079999999999997,25.04
2.612,25.060000000000002
2.6399999999999997,25.060000000000002
2.642,25.2
2.646,25.220000000000002
2.648,25.3
2.65,25.32
2.662,25.38
2.666,25.380000000000003
2.668,25.380000000000003
2.6799999999999997,25.419999999999998
2.68,25.46
2.688,25.639999999999997
2.6919999999999997,25.68
2.6919999999999997,25.72
2.6999999999999997,25.72
2.7,25.759999999999998
2.7020000000000004,25.8
2.7039999999999997,25.8
2.706,25.880000000000003
2.7079999999999997,26.0
2.71,26.020000000000003
2.714,26.119999999999997
2.718,26.119999999999997
2.718,26.160000000000004
2.718,26.24
2.7199999999999998,26.26
2.7199999999999998,26.26
2.728,26.300000000000004
2.732,26.359999999999996
2.7359999999999998,26.360000000000003
2.738,26.360000000000003
2.7380000000000004,26.520000000000003
2.74,26.619999999999997
2.742,26.68
2.7439999999999998,26.78
2.75,26.880000000000003
2.758,26.880000000000003
2.7660000000000005,26.9
2.774,27.18
2.784,27.22
2.784,27.4
2.784,27.559999999999995
2.788,27.560000000000002
2.79,27.640000000000004
2.79,27.78
2.7980000000000005,27.860000000000003
2.7980000000000005,28.080000000000002
2.802,28.159999999999997
2.8020000000000005,28.160000000000004
2.806,28.26
2.808,28.439999999999998
2.82,28.52
2.822,28.54
2.824,28.580000000000002
2.8240000000000003,28.619999999999997
2.8280000000000003,28.640000000000004
2.8339999999999996,28.7
2.834,28.76
2.836,28.919999999999998
2.84,29.139999999999997
2.844,29.28
2.856,29.4
2.864,29.579999999999995
2.8679999999999994,29.7
2.87,29.82
2.8739999999999997,29.979999999999997
2.874,30.04
2.876,30.04
2.882,30.18
2.8839999999999995,30.220000000000006
2.8839999999999995,30.24
2.8920000000000003,30.259999999999998
2.9,30.379999999999995
2.902,30.520000000000003
2.906,30.579999999999995
2.908,30.660000000000004
2.9160000000000004,30.959999999999997
2.9220000000000006,30.98
2.9279999999999995,31.0
2.9379999999999997,31.040000000000003
2.9419999999999997,31.040000000000003
2.95,31.159999999999997
2.964,31.160000000000004
2.964,31.240000000000002
2.9859999999999998,31.3
2.992,31.340000000000003
2.996,31.360000000000003
3.002,31.419999999999998
3.018,31.52
3.0300000000000002,31.560000000000002
3.032,31.6
3.0360000000000005,31.9
3.064,31.9
3.082,31.96
3.086,31.979999999999997
3.0959999999999996,32.04
3.098,32.08
3.1119999999999997,32.239999999999995
3.1260000000000003,32.260000000000005
3.13,32.339999999999996
3.138,32.62
3.146,32.660000000000004
3.146,32.88000000000001
3.154,33.160000000000004
3.168,33.160000000000004
3.182,33.2
3.182,33.26
3.196,33.260000000000005
3.196,33.42
3.2019999999999995,33.559999999999995
3.2060000000000004,33.72
3.2119999999999997,33.940000000000005
3.2159999999999997,33.96
3.25,33.98
3.2520000000000002,33.980000000000004
3.2520000000000002,34.06
3.2560000000000002,34.18
3.258,34.4
3.3,34.42
3.3480000000000003,34.5
3.382,34.519999999999996
3.396,34.6
3.4879999999999995,34.720000000000006
3.5200000000000005,34.78
3.5520000000000005,34.82
3.556,34.879999999999995
3.558,35.04
3.56,35.06
3.5759999999999996,35.2
3.6380000000000003,35.220000000000006
3.6419999999999995,35.260000000000005
3.6599999999999993,35.38
3.682,35.68000000000001
3.7,35.9
3.714,35.9
3.732,36.04
3.8259999999999996,36.1
3.882,36.220000000000006
3.914,36.239999999999995
3.9860000000000007,36.34
4.0,36.36
4.013999999999999,36.5
4.07,36.54
4.084,36.760000000000005
4.1339999999999995,36.99999999999999
4.148,37.160000000000004
4.15,37.36
4.18,37.36
4.188000000000001,38.480000000000004
4.232,38.92
4.316,39.08
4.372,39.28
4.378,39.3
4.460000000000001,39.4
4.496,39.92
4.5600000000000005,40.10000000000001
4.656,40.28
4.716,40.559999999999995
4.746,40.62
4.756,42.38
4.798,43.39999999999999
4.988,44.58
5.148,45.160000000000004
5.212000000000001,45.6
5.224,46.379999999999995
5.241999999999999,49.12
5.447999999999999,49.32000000000001
5.526,49.879999999999995
5.656000000000001,49.96
5.726,51.339999999999996
5.76,58.339999999999996
5.917999999999999,59.220000000000006
9.634,59.9
9.908000000000001,61.96
11.564,66.5
21.116,71.94
46.762,77.28
50.992000000000004,82.66
53.217999999999996,94.56
58.238,114.31999999999998
68.704,117.25999999999999
88.41,121.65999999999997
290.24,197.23999999999998
