Tipo, TempoMedio0cm(ms), TempoMedio1m(ms), TempoMedio3m(ms), TempoMedio5m(ms), TempoMedio10m(ms), TempoMedio15m(ms)
Client,22.9,6.1,7.7,6.7,6.5,9.8
Client,23.4,8.5,8.5,7.5,7.0,11.2
Client,24.9,8.7,8.5,10.3,7.8,11.7
Client,27.9,11.1,10.6,11.1,9.8,12.0
Client,28.9,11.3,11.7,11.9,10.0,12.0
Client,29.5,11.4,12.2,14.0,10.8,12.3
Client,33.5,12.1,12.5,14.1,11.8,13.6
Client,43.1,12.6,12.5,14.8,15.7,14.1
Client,43.6,13.7,13.8,26.5,30.6,14.7
Client,45.3,13.9,20.7,46.3,54.3,68.0
Client,95.3,89.1,68.8,79.6,80.5,97.4
Client,105.4,108.7,90.3,88.7,98.0,104.4
Client,130.5,120.0,100.3,123.2,154.5,140.9
Client,136.1,126.2,108.5,163.4,160.0,152.2
Client,165.7,154.4,117.8,166.0,192.1,176.5
Client,178.4,174.9,201.9,197.6,212.6,183.0
Client,195.0,197.6,206.9,240.8,214.3,308.8
Client,207.8,217.0,239.9,293.3,319.0,333.2
Client,208.4,232.4,246.0,294.7,373.8,336.3
Client,393.3,372.3,515.7,468.8,541.3,645.4
Client,439.4,508.4,567.0,575.0,597.9,741.3
Client,608.3,642.7,580.8,591.6,622.8,872.1
Client,644.3,660.0,712.6,845.5,868.8,929.6
Client,693.4,704.2,729.1,857.2,979.1,1104.8
Client,717.0,751.7,921.8,961.0,980.6,1274.9
Client,745.5,892.4,933.7,970.8,988.7,1323.5
Client,911.8,899.9,979.4,1028.2,1278.3,1376.3
Client,1001.6,1077.8,1016.5,1190.1,1328.7,1411.6
Client,1034.6,1120.1,1056.1,1214.3,1340.0,1426.5
Client,1104.2,1121.6,1063.6,1245.1,1384.4,1559.7
Client,1137.8,1167.0,1130.6,1399.0,1414.5,1583.4
Client,1161.8,1170.8,1139.4,1408.4,1493.0,1586.4
Client,1191.7,1207.8,1160.2,1491.9,1502.9,1596.4
Client,1206.1,1224.7,1296.9,1519.0,1738.2,1660.3
Client,1469.6,1462.4,1391.4,2094.3,1909.0,2160.1
Client,35944.7,38110.9,36830.2,42022.0,49556.4,48123.2
Client,94792.2,99276.4,97833.4,119307.9,118587.4,168316.5
