Tipo, TempoMedio0cm(ms), TempoMedio1m(ms), TempoMedio3m(ms), TempoMedio5m(ms), TempoMedio10m(ms), TempoMedio15m(ms)
GO,30.2,32.4,37.9,27.8,29.5,31.7
GO,34.4,32.4,52.7,28.8,32.6,34.7
GO,36.7,35.8,57.8,36.3,33.4,38.1
GO,39.9,36.4,60.0,38.6,39.4,39.7
GO,40.7,38.8,62.9,40.1,49.3,42.7
GO,41.0,41.0,63.8,49.1,49.6,54.7
GO,44.9,51.3,64.2,50.5,50.0,54.8
GO,50.3,56.0,65.0,52.3,51.7,58.3
GO,79.9,91.1,75.1,64.5,77.8,59.4
GO,84.1,98.6,86.5,103.7,101.2,114.4
GO,99.5,110.3,92.0,105.3,107.0,125.2
GO,111.6,123.7,110.9,116.8,115.2,147.8
GO,136.9,148.6,119.1,140.4,180.0,161.7
GO,143.5,155.8,131.5,182.4,185.4,167.5
GO,164.3,173.7,135.1,192.4,220.5,191.5
GO,185.4,189.0,208.9,223.1,228.8,213.2
GO,202.3,209.9,211.4,255.4,232.3,322.9
GO,216.6,230.8,250.7,293.8,329.8,352.0
GO,223.0,242.3,252.3,308.1,387.8,365.8
GO,411.7,400.1,534.9,487.7,554.9,679.1
GO,460.3,538.1,593.0,594.2,615.7,776.7
GO,630.5,676.3,600.9,618.6,645.8,895.9
GO,673.1,720.0,752.0,881.0,913.3,964.1
GO,734.7,748.3,759.5,898.5,996.7,1155.7
GO,741.1,791.1,963.1,992.7,1011.1,1337.7
GO,766.8,917.9,971.8,1009.2,1031.3,1356.1
GO,928.1,944.0,1033.8,1067.1,1333.8,1411.6
GO,1021.1,1123.0,1058.2,1248.0,1377.5,1451.9
GO,1054.4,1166.5,1119.5,1278.8,1382.5,1470.8
GO,1126.7,1173.8,1125.2,1345.3,1441.4,1625.6
GO,1162.7,1217.2,1178.9,1450.3,1463.5,1647.3
GO,1176.0,1222.8,1199.4,1453.9,1536.2,1665.0
GO,1211.3,1252.3,1216.3,1544.2,1541.6,1666.3
GO,1230.2,1294.0,1335.7,1589.0,1810.3,1734.8
GO,1492.6,1547.9,1472.3,2210.0,1963.0,2278.7
GO,35965.1,38216.6,36923.3,42157.0,49696.0,48294.4
GO,94862.7,99456.6,97923.9,119447.7,118799.9,168504.7
