TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms)
1513762903341;1513762903371;1513762883133;1513762883199;.png;43574;30;66
1513762904383;1513762904504;1513762884178;1513762884312;.png;60606;121;134
1513762905521;1513762905537;1513762885322;1513762885346;.png;62303;16;24
1513762906556;1513762906576;1513762886360;1513762886387;.png;62372;20;27
1513762907592;1513762907612;1513762887390;1513762887421;.png;69598;20;31
1513762908635;1513762908661;1513762888431;1513762888463;.png;78311;26;32
1513762909676;1513762909705;1513762889480;1513762889506;.png;81702;29;26
1513762910728;1513762910749;1513762890524;1513762890554;.png;86564;21;30
1513762911765;1513762911794;1513762891562;1513762891598;.pdf;107050;29;36
1513762912811;1513762912840;1513762892615;1513762892642;.png;124105;29;27
1513762913855;1513762913938;1513762893655;1513762893757;.pdf;321740;83;102
1513762914959;1513762915048;1513762894756;1513762894848;.pdf;405687;89;92
1513762916058;1513762916188;1513762895860;1513762895998;.pdf;463639;130;138
1513762917212;1513762917777;1513762897006;1513762897582;.mp4;478886;565;576
1513762918785;1513762918986;1513762898582;1513762898797;.pdf;573824;201;215
1513762919989;1513762920231;1513762899796;1513762900035;.mp4;603517;242;239
1513762921251;1513762921519;1513762901047;1513762901325;.png;848806;268;278
1513762922538;1513762922710;1513762902336;1513762902517;.pdf;1009014;172;181
1513762923726;1513762923903;1513762903524;1513762903708;.pdf;1084673;177;184
1513762924924;1513762925277;1513762904721;1513762905092;.mp4;2232746;353;371
1513762926294;1513762926653;1513762906098;1513762906470;.pdf;2459010;359;372
1513762927675;1513762928183;1513762907466;1513762908011;.mp3;3363260;508;545
1513762929202;1513762929727;1513762909000;1513762909550;.pdf;3409257;525;550
1513762930745;1513762931467;1513762910543;1513762911275;.mp3;4846713;722;732
1513762932482;1513762933178;1513762912279;1513762913002;.mp3;4905254;696;723
1513762934195;1513762934909;1513762913994;1513762914737;.mp3;5178593;714;743
1513762935923;1513762936875;1513762915723;1513762916682;.mp3;5963776;952;959
1513762937890;1513762938887;1513762917691;1513762918708;.mp3;6897963;997;1017
1513762939913;1513762940932;1513762919708;1513762920756;.pdf;6947882;1019;1048
1513762941957;1513762943226;1513762921756;1513762923034;.mp3;7522076;1269;1278
1513762944243;1513762945293;1513762924041;1513762925120;.mp3;7700653;1050;1079
1513762946309;1513762947427;1513762926108;1513762927251;.mp4;7953382;1118;1143
1513762948445;1513762949591;1513762928244;1513762929407;.mp3;8012705;1146;1163
1513762950611;1513762951782;1513762930408;1513762931607;.mp4;8297488;1171;1199
1513762952801;1513762954201;1513762932603;1513762934029;.mp3;9945088;1400;1426
1513762955223;1513762990955;1513762935019;1513762970768;.iso;238026752;35732;35749
1513762991971;1513763086447;1513762971770;1513763066270;.iso;647823360;94476;94500
