Tipo; Extensao; Tamanho(bytes); TT1(ms); TT2(ms); TT3(ms); TT4(ms); TT5(ms); TT6(ms); TT7(ms); TT8(ms); TT9(ms); TT10(ms); TempoMedio(ms)
Client;.png;43574;30.0;18.0;26.0;30.0;36.0;36.0;17.0;37.0;29.0;30.0;28.9
Client;.png;60606;59.0;17.0;23.0;121.0;45.0;16.0;22.0;70.0;49.0;31.0;45.3
Client;.png;62303;60.0;18.0;21.0;16.0;45.0;16.0;18.0;32.0;53.0;16.0;29.5
Client;.png;62372;23.0;18.0;21.0;20.0;23.0;17.0;21.0;21.0;33.0;37.0;23.4
Client;.png;69598;22.0;15.0;18.0;20.0;19.0;7.0;23.0;44.0;98.0;13.0;27.9
Client;.png;78311;36.0;24.0;17.0;26.0;23.0;13.0;42.0;18.0;32.0;18.0;24.9
Client;.png;81702;32.0;24.0;16.0;29.0;22.0;12.0;25.0;37.0;108.0;30.0;33.5
Client;.png;86564;30.0;22.0;26.0;21.0;24.0;22.0;20.0;22.0;24.0;18.0;22.9
Client;.pdf;107050;46.0;23.0;38.0;29.0;82.0;40.0;77.0;47.0;22.0;32.0;43.6
Client;.png;124105;34.0;24.0;30.0;29.0;87.0;38.0;105.0;28.0;24.0;32.0;43.1
Client;.pdf;321740;98.0;75.0;135.0;83.0;95.0;102.0;163.0;95.0;60.0;148.0;105.4
Client;.pdf;405687;133.0;87.0;294.0;89.0;83.0;150.0;173.0;75.0;117.0;104.0;130.5
Client;.pdf;463639;77.0;94.0;94.0;130.0;81.0;160.0;83.0;74.0;86.0;74.0;95.3
Client;.mp4;478886;107.0;108.0;205.0;565.0;105.0;137.0;143.0;99.0;154.0;161.0;178.4
Client;.pdf;573824;101.0;112.0;197.0;201.0;129.0;101.0;120.0;98.0;102.0;200.0;136.1
Client;.mp4;603517;172.0;156.0;134.0;242.0;119.0;255.0;144.0;148.0;138.0;149.0;165.7
Client;.png;848806;162.0;156.0;146.0;268.0;149.0;422.0;155.0;190.0;151.0;151.0;195.0
Client;.pdf;1009014;183.0;221.0;170.0;172.0;193.0;278.0;192.0;155.0;239.0;275.0;207.8
Client;.pdf;1084673;281.0;199.0;233.0;177.0;183.0;224.0;199.0;198.0;189.0;201.0;208.4
Client;.mp4;2232746;516.0;337.0;479.0;353.0;415.0;325.0;348.0;372.0;439.0;349.0;393.3
Client;.pdf;2459010;538.0;356.0;392.0;359.0;573.0;368.0;420.0;568.0;390.0;430.0;439.4
Client;.mp3;3363260;564.0;537.0;533.0;508.0;1218.0;492.0;821.0;725.0;479.0;566.0;644.3
Client;.pdf;3409257;534.0;498.0;1204.0;525.0;540.0;495.0;543.0;680.0;554.0;510.0;608.3
Client;.mp3;4846713;681.0;686.0;704.0;722.0;753.0;710.0;723.0;802.0;679.0;710.0;717.0
Client;.mp3;4905254;736.0;703.0;677.0;696.0;674.0;694.0;664.0;701.0;686.0;703.0;693.4
Client;.mp3;5178593;788.0;753.0;755.0;714.0;739.0;707.0;724.0;771.0;753.0;751.0;745.5
Client;.mp3;5963776;899.0;989.0;837.0;952.0;859.0;872.0;829.0;1052.0;841.0;988.0;911.8
Client;.mp3;6897963;978.0;1053.0;967.0;997.0;972.0;998.0;1099.0;1008.0;959.0;985.0;1001.6
Client;.pdf;6947882;985.0;1018.0;1043.0;1019.0;990.0;1226.0;997.0;984.0;1002.0;1082.0;1034.6
Client;.mp3;7522076;1134.0;1117.0;1104.0;1269.0;1053.0;1200.0;1162.0;1041.0;1268.0;1270.0;1161.8
Client;.mp3;7700653;1122.0;1161.0;1089.0;1050.0;1194.0;1054.0;1080.0;1109.0;1068.0;1115.0;1104.2
Client;.mp4;7953382;1097.0;1151.0;1164.0;1118.0;1176.0;1131.0;1102.0;1135.0;1187.0;1117.0;1137.8
Client;.mp3;8012705;1364.0;1161.0;1166.0;1146.0;1178.0;1185.0;1136.0;1195.0;1236.0;1150.0;1191.7
Client;.mp4;8297488;1187.0;1168.0;1211.0;1171.0;1203.0;1174.0;1184.0;1409.0;1186.0;1168.0;1206.1
Client;.mp3;9945088;1616.0;1541.0;1472.0;1400.0;1465.0;1433.0;1508.0;1461.0;1395.0;1405.0;1469.6
Client;.iso;238026752;37165.0;35301.0;35064.0;35732.0;37182.0;35808.0;35447.0;36762.0;35285.0;35701.0;35944.7
Client;.iso;647823360;92788.0;98253.0;94093.0;94476.0;93779.0;94669.0;94677.0;95451.0;93494.0;96242.0;94792.2
