Tipo; Extensao; Tamanho(bytes); TT1(ms); TT2(ms); TT3(ms); TT4(ms); TT5(ms); TT6(ms); TT7(ms); TT8(ms); TT9(ms); TT10(ms); TempoMedio(ms)
GO;.png;43574;120.0;50.0;71.0;66.0;111.0;93.0;60.0;69.0;94.0;65.0;79.9
GO;.png;60606;105.0;35.0;47.0;134.0;104.0;45.0;32.0;186.0;105.0;48.0;84.1
GO;.png;62303;50.0;37.0;38.0;24.0;54.0;48.0;34.0;44.0;86.0;34.0;44.9
GO;.png;62372;44.0;25.0;27.0;27.0;49.0;26.0;30.0;25.0;46.0;45.0;34.4
GO;.png;69598;45.0;24.0;30.0;31.0;40.0;16.0;37.0;52.0;115.0;20.0;41.0
GO;.png;78311;118.0;25.0;34.0;32.0;32.0;32.0;44.0;23.0;32.0;27.0;39.9
GO;.png;81702;45.0;33.0;26.0;26.0;20.0;16.0;29.0;28.0;112.0;32.0;36.7
GO;.png;86564;40.0;23.0;27.0;30.0;28.0;29.0;31.0;30.0;36.0;28.0;30.2
GO;.pdf;107050;48.0;26.0;36.0;36.0;87.0;36.0;21.0;51.0;27.0;39.0;40.7
GO;.png;124105;58.0;26.0;32.0;27.0;93.0;42.0;112.0;32.0;29.0;52.0;50.3
GO;.pdf;321740;103.0;84.0;136.0;102.0;100.0;110.0;166.0;99.0;63.0;153.0;111.6
GO;.pdf;405687;135.0;91.0;298.0;92.0;89.0;155.0;179.0;87.0;137.0;106.0;136.9
GO;.pdf;463639;81.0;96.0;94.0;138.0;84.0;159.0;89.0;78.0;94.0;82.0;99.5
GO;.mp4;478886;111.0;106.0;197.0;576.0;117.0;149.0;158.0;119.0;154.0;167.0;185.4
GO;.pdf;573824;106.0;117.0;202.0;215.0;152.0;108.0;123.0;106.0;100.0;206.0;143.5
GO;.mp4;603517;174.0;133.0;139.0;239.0;128.0;264.0;148.0;151.0;119.0;148.0;164.3
GO;.png;848806;168.0;156.0;159.0;278.0;154.0;426.0;163.0;198.0;162.0;159.0;202.3
GO;.pdf;1009014;188.0;275.0;177.0;181.0;200.0;283.0;193.0;165.0;295.0;273.0;223.0
GO;.pdf;1084673;294.0;204.0;242.0;184.0;185.0;233.0;210.0;206.0;196.0;212.0;216.6
GO;.mp4;2232746;527.0;355.0;493.0;371.0;436.0;351.0;374.0;394.0;451.0;365.0;411.7
GO;.pdf;2459010;549.0;381.0;408.0;372.0;601.0;387.0;473.0;580.0;413.0;439.0;460.3
GO;.mp3;3363260;586.0;565.0;558.0;545.0;1232.0;509.0;844.0;830.0;488.0;574.0;673.1
GO;.pdf;3409257;566.0;507.0;1220.0;550.0;565.0;528.0;565.0;689.0;578.0;537.0;630.5
GO;.mp3;4846713;708.0;706.0;731.0;732.0;781.0;716.0;739.0;815.0;694.0;725.0;734.7
GO;.mp3;4905254;760.0;720.0;696.0;723.0;697.0;937.0;686.0;726.0;741.0;725.0;741.1
GO;.mp3;5178593;813.0;766.0;783.0;743.0;755.0;733.0;746.0;800.0;758.0;771.0;766.8
GO;.mp3;5963776;925.0;997.0;866.0;959.0;880.0;886.0;861.0;1058.0;877.0;972.0;928.1
GO;.mp3;6897963;993.0;1064.0;989.0;1017.0;995.0;1015.0;1116.0;1029.0;985.0;1008.0;1021.1
GO;.pdf;6947882;1005.0;1044.0;1061.0;1048.0;1014.0;1236.0;1023.0;997.0;1027.0;1089.0;1054.4
GO;.mp3;7522076;1147.0;1135.0;1130.0;1278.0;1074.0;1204.0;1182.0;1064.0;1279.0;1267.0;1176.0
GO;.mp3;7700653;1144.0;1180.0;1116.0;1079.0;1219.0;1082.0;1099.0;1129.0;1095.0;1124.0;1126.7
GO;.mp4;7953382;1125.0;1178.0;1189.0;1143.0;1189.0;1150.0;1131.0;1168.0;1217.0;1137.0;1162.7
GO;.mp3;8012705;1368.0;1188.0;1189.0;1163.0;1203.0;1203.0;1159.0;1216.0;1253.0;1171.0;1211.3
GO;.mp4;8297488;1207.0;1193.0;1235.0;1199.0;1231.0;1198.0;1202.0;1440.0;1204.0;1193.0;1230.2
GO;.mp3;9945088;1641.0;1572.0;1500.0;1426.0;1479.0;1452.0;1530.0;1478.0;1422.0;1426.0;1492.6
GO;.iso;238026752;37172.0;35323.0;35083.0;35749.0;37209.0;35835.0;35468.0;36791.0;35302.0;35719.0;35965.1
GO;.iso;647823360;93297.0;98267.0;94119.0;94500.0;93800.0;94692.0;94708.0;95473.0;93501.0;96270.0;94862.7
