Tipo; Extensao; Tamanho(bytes); TT1(ms); TT2(ms); TT3(ms); TT4(ms); TT5(ms); TT6(ms); TT7(ms); TT8(ms); TT9(ms); TT10(ms); TempoMedio(ms)
GO;.png;43574;159.0;138.0;69.0;72.0;52.0;64.0;144.0;73.0;73.0;67.0;91.1
GO;.png;60606;37.0;54.0;48.0;47.0;56.0;56.0;38.0;52.0;50.0;122.0;56.0
GO;.png;62303;36.0;50.0;56.0;49.0;123.0;32.0;30.0;48.0;57.0;32.0;51.3
GO;.png;62372;30.0;35.0;34.0;32.0;24.0;39.0;118.0;31.0;31.0;36.0;41.0
GO;.png;69598;35.0;32.0;48.0;32.0;60.0;38.0;30.0;56.0;34.0;23.0;38.8
GO;.png;78311;26.0;36.0;33.0;30.0;32.0;41.0;39.0;19.0;29.0;39.0;32.4
GO;.png;81702;21.0;24.0;40.0;32.0;45.0;21.0;35.0;42.0;49.0;55.0;36.4
GO;.png;86564;39.0;23.0;33.0;36.0;36.0;32.0;31.0;38.0;27.0;29.0;32.4
GO;.pdf;107050;37.0;33.0;36.0;36.0;53.0;38.0;23.0;24.0;43.0;35.0;35.8
GO;.png;124105;39.0;124.0;40.0;40.0;37.0;40.0;58.0;513.0;56.0;39.0;98.6
GO;.pdf;321740;177.0;92.0;89.0;85.0;178.0;467.0;95.0;96.0;139.0;140.0;155.8
GO;.pdf;405687;91.0;93.0;78.0;92.0;495.0;114.0;179.0;206.0;232.0;310.0;189.0
GO;.pdf;463639;133.0;116.0;229.0;140.0;136.0;175.0;112.0;123.0;190.0;132.0;148.6
GO;.mp4;478886;115.0;108.0;103.0;115.0;111.0;105.0;131.0;111.0;99.0;105.0;110.3
GO;.pdf;573824;124.0;128.0;115.0;113.0;139.0;131.0;110.0;114.0;120.0;143.0;123.7
GO;.mp4;603517;133.0;179.0;212.0;261.0;125.0;126.0;212.0;129.0;174.0;186.0;173.7
GO;.png;848806;167.0;240.0;164.0;296.0;162.0;180.0;315.0;179.0;229.0;167.0;209.9
GO;.pdf;1009014;229.0;468.0;183.0;288.0;191.0;179.0;202.0;278.0;186.0;219.0;242.3
GO;.pdf;1084673;297.0;262.0;183.0;211.0;240.0;194.0;276.0;236.0;199.0;210.0;230.8
GO;.mp4;2232746;504.0;405.0;348.0;464.0;405.0;340.0;396.0;369.0;367.0;403.0;400.1
GO;.pdf;2459010;457.0;578.0;426.0;608.0;457.0;1234.0;398.0;463.0;395.0;365.0;538.1
GO;.mp3;3363260;1007.0;660.0;579.0;675.0;528.0;983.0;546.0;1098.0;533.0;591.0;720.0
GO;.pdf;3409257;887.0;618.0;630.0;569.0;538.0;692.0;1181.0;589.0;529.0;530.0;676.3
GO;.mp3;4846713;749.0;738.0;779.0;716.0;725.0;768.0;796.0;732.0;686.0;794.0;748.3
GO;.mp3;4905254;1073.0;796.0;766.0;767.0;717.0;768.0;776.0;764.0;746.0;738.0;791.1
GO;.mp3;5178593;998.0;826.0;875.0;806.0;1095.0;870.0;1031.0;1106.0;813.0;759.0;917.9
GO;.mp3;5963776;891.0;920.0;896.0;916.0;1110.0;947.0;889.0;979.0;994.0;898.0;944.0
GO;.mp3;6897963;1369.0;1012.0;1082.0;1040.0;1174.0;1020.0;1020.0;1045.0;2693.0;1068.0;1252.3
GO;.pdf;6947882;1381.0;1051.0;1152.0;1151.0;1084.0;1054.0;1032.0;1069.0;1123.0;1133.0;1123.0
GO;.mp3;7522076;1203.0;1126.0;1201.0;1151.0;1153.0;1096.0;1114.0;1097.0;1147.0;1377.0;1166.5
GO;.mp3;7700653;1272.0;1194.0;1138.0;1119.0;1169.0;1382.0;1102.0;1123.0;1116.0;1123.0;1173.8
GO;.mp4;7953382;1514.0;1142.0;1258.0;1177.0;1196.0;1171.0;1178.0;1139.0;1242.0;1211.0;1222.8
GO;.mp3;8012705;1355.0;1301.0;1218.0;1126.0;1152.0;1235.0;1148.0;1172.0;1300.0;1165.0;1217.2
GO;.mp4;8297488;1267.0;1268.0;1259.0;1207.0;1243.0;1341.0;1189.0;1225.0;1735.0;1206.0;1294.0
GO;.mp3;9945088;2048.0;1529.0;1468.0;1435.0;1422.0;1491.0;1460.0;1470.0;1665.0;1491.0;1547.9
GO;.iso;238026752;39201.0;37301.0;37428.0;36191.0;37325.0;38778.0;39102.0;40111.0;38648.0;38081.0;38216.6
GO;.iso;647823360;101083.0;98805.0;97451.0;98986.0;100786.0;98460.0;97028.0;100708.0;102322.0;98937.0;99456.6
