TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms)
1513772045173;1513772045186;1513772025141;1513772025242;.png;43574;13;101
1513772046212;1513772046224;1513772026195;1513772026316;.png;60606;12;121
1513772047242;1513772047259;1513772027225;1513772027345;.png;62303;17;120
1513772048277;1513772048290;1513772028260;1513772028365;.png;62372;13;105
1513772049307;1513772049323;1513772029290;1513772029426;.png;69598;16;136
1513772050403;1513772050416;1513772030389;1513772030641;.png;78311;13;252
1513772051457;1513772051469;1513772031439;1513772031477;.png;81702;12;38
1513772052491;1513772052505;1513772032473;1513772032506;.png;86564;14;33
1513772053523;1513772053538;1513772033506;1513772033548;.pdf;107050;15;42
1513772054559;1513772054573;1513772034540;1513772034580;.png;124105;14;40
1513772055592;1513772055647;1513772035575;1513772035646;.pdf;321740;55;71
1513772056669;1513772056734;1513772036648;1513772036730;.pdf;405687;65;82
1513772057749;1513772057848;1513772037730;1513772037846;.pdf;463639;99;116
1513772058872;1513772058952;1513772038852;1513772038954;.mp4;478886;80;102
1513772059967;1513772060111;1513772039956;1513772040104;.pdf;573824;144;148
1513772061130;1513772061276;1513772041119;1513772041291;.mp4;603517;146;172
1513772062294;1513772062456;1513772042277;1513772042451;.png;848806;162;174
1513772063544;1513772063898;1513772043528;1513772043895;.pdf;1009014;354;367
1513772066011;1513772066649;1513772046091;1513772046644;.pdf;1084673;638;553
1513772067664;1513772068028;1513772047645;1513772048037;.mp4;2232746;364;392
1513772069053;1513772069485;1513772049038;1513772049491;.pdf;2459010;432;453
1513772070506;1513772071043;1513772050487;1513772051052;.mp3;3363260;537;565
1513772072063;1513772072579;1513772052045;1513772052592;.pdf;3409257;516;547
1513772073599;1513772074297;1513772053581;1513772054321;.mp3;4846713;698;740
1513772075312;1513772076059;1513772055311;1513772056054;.mp3;4905254;747;743
1513772077082;1513772077864;1513772057066;1513772057880;.mp3;5178593;782;814
1513772078887;1513772079765;1513772058865;1513772059804;.mp3;5963776;878;939
1513772080786;1513772081853;1513772060766;1513772061854;.mp3;6897963;1067;1088
1513772082875;1513772084040;1513772062854;1513772064062;.pdf;6947882;1165;1208
1513772085064;1513772086318;1513772065050;1513772066312;.mp3;7522076;1254;1262
1513772087333;1513772088375;1513772067333;1513772068446;.mp3;7700653;1042;1113
1513772089395;1513772090450;1513772069375;1513772070501;.mp4;7953382;1055;1126
1513772091466;1513772092552;1513772071446;1513772072619;.mp3;8012705;1086;1173
1513772093568;1513772094791;1513772073549;1513772074787;.mp4;8297488;1223;1238
1513772095810;1513772097395;1513772075796;1513772077391;.mp3;9945088;1585;1595
1513772098415;1513772134561;1513772078396;1513772114707;.iso;238026752;36146;36311
1513772135603;1513772236020;1513772115578;1513772216062;.iso;647823360;100417;100484
