Tipo; Extensao; Tamanho(bytes); TT1(ms); TT2(ms); TT3(ms); TT4(ms); TT5(ms); TT6(ms); TT7(ms); TT8(ms); TT9(ms); TT10(ms); TempoMedio(ms)
Client;.png;43574;11.0;16.0;13.0;11.0;10.0;9.0;10.0;5.0;5.0;16.0;10.6
Client;.png;60606;11.0;13.0;12.0;11.0;13.0;11.0;13.0;11.0;14.0;13.0;12.2
Client;.png;62303;16.0;19.0;17.0;26.0;26.0;20.0;26.0;8.0;30.0;19.0;20.7
Client;.png;62372;11.0;12.0;13.0;13.0;15.0;9.0;12.0;11.0;11.0;10.0;11.7
Client;.png;69598;15.0;12.0;16.0;6.0;13.0;9.0;14.0;16.0;9.0;15.0;12.5
Client;.png;78311;14.0;14.0;13.0;15.0;14.0;7.0;2.0;2.0;2.0;2.0;8.5
Client;.png;81702;13.0;15.0;12.0;18.0;12.0;8.0;2.0;2.0;1.0;2.0;8.5
Client;.png;86564;10.0;13.0;14.0;13.0;6.0;8.0;2.0;2.0;7.0;2.0;7.7
Client;.pdf;107050;3.0;2.0;15.0;12.0;14.0;11.0;23.0;12.0;16.0;17.0;12.5
Client;.png;124105;11.0;2.0;14.0;10.0;21.0;11.0;17.0;16.0;17.0;19.0;13.8
Client;.pdf;321740;53.0;74.0;55.0;59.0;73.0;79.0;71.0;67.0;69.0;88.0;68.8
Client;.pdf;405687;63.0;82.0;65.0;63.0;224.0;77.0;89.0;89.0;71.0;80.0;90.3
Client;.pdf;463639;87.0;193.0;99.0;81.0;75.0;94.0;118.0;129.0;104.0;105.0;108.5
Client;.mp4;478886;70.0;94.0;80.0;183.0;97.0;113.0;93.0;109.0;90.0;74.0;100.3
Client;.pdf;573824;114.0;108.0;144.0;191.0;89.0;95.0;114.0;108.0;105.0;110.0;117.8
Client;.mp4;603517;95.0;164.0;146.0;181.0;174.0;111.0;105.0;879.0;110.0;104.0;206.9
Client;.png;848806;878.0;166.0;162.0;163.0;161.0;159.0;157.0;243.0;149.0;161.0;239.9
Client;.pdf;1009014;178.0;158.0;354.0;164.0;231.0;180.0;204.0;146.0;213.0;191.0;201.9
Client;.pdf;1084673;254.0;189.0;638.0;179.0;193.0;226.0;197.0;187.0;182.0;215.0;246.0
Client;.mp4;2232746;4146.0;363.0;364.0;408.0;324.0;384.0;359.0;366.0;1029.0;1594.0;933.7
Client;.pdf;2459010;405.0;366.0;432.0;708.0;445.0;414.0;963.0;450.0;432.0;542.0;515.7
Client;.mp3;3363260;713.0;471.0;537.0;595.0;452.0;809.0;684.0;466.0;564.0;517.0;580.8
Client;.pdf;3409257;568.0;524.0;516.0;555.0;501.0;836.0;598.0;517.0;558.0;497.0;567.0
Client;.mp3;4846713;763.0;699.0;698.0;716.0;675.0;709.0;735.0;692.0;683.0;756.0;712.6
Client;.mp3;4905254;655.0;697.0;747.0;715.0;722.0;724.0;748.0;829.0;690.0;764.0;729.1
Client;.mp3;5178593;5391.0;850.0;782.0;789.0;746.0;1365.0;719.0;802.0;749.0;776.0;1296.9
Client;.mp3;5963776;915.0;1476.0;878.0;832.0;832.0;837.0;815.0;861.0;918.0;854.0;921.8
Client;.mp3;6897963;1040.0;934.0;1067.0;952.0;945.0;976.0;1013.0;1078.0;1184.0;976.0;1016.5
Client;.pdf;6947882;951.0;933.0;1165.0;944.0;992.0;931.0;989.0;971.0;987.0;931.0;979.4
Client;.mp3;7522076;997.0;1006.0;1254.0;987.0;1000.0;1043.0;1048.0;1080.0;1051.0;1095.0;1056.1
Client;.mp3;7700653;1061.0;1113.0;1042.0;1090.0;1131.0;996.0;1050.0;1057.0;1022.0;1074.0;1063.6
Client;.mp4;7953382;1052.0;1083.0;1055.0;1087.0;1274.0;1143.0;1143.0;1239.0;1073.0;1157.0;1130.6
Client;.mp3;8012705;1367.0;1125.0;1086.0;1110.0;1118.0;1226.0;1077.0;1082.0;1094.0;1109.0;1139.4
Client;.mp4;8297488;1120.0;1159.0;1223.0;1175.0;1174.0;1111.0;1156.0;1159.0;1125.0;1200.0;1160.2
Client;.mp3;9945088;1438.0;1356.0;1585.0;1320.0;1378.0;1386.0;1353.0;1356.0;1338.0;1404.0;1391.4
Client;.iso;238026752;37776.0;37127.0;36146.0;36497.0;37354.0;38417.0;36231.0;36231.0;35332.0;37191.0;36830.2
Client;.iso;647823360;101868.0;96546.0;100417.0;95890.0;97628.0;96975.0;96796.0;97364.0;95501.0;99349.0;97833.4
