 Tamanho(bytes), Tempo(ms),LarguraDeBanda(kb/s)
43574,60,+ACI-709,212239583333+ACI-
86564,107,+ACI-790,048189252336+ACI-
405687,480,+ACI-825,372314453125+ACI-
573824,623,+ACI-899,478330658106+ACI-
603517,530,+ACI-1112,02277417453+ACI-
405687,339,+ACI-1168,66876382743+ACI-
478886,399,+ACI-1172,08548715539+ACI-
8297488,6796,+ACI-1192,32131032961+ACI-
321740,250,+ACI-1256,796875+ACI-
9945088,7704,+ACI-1260,64382139149+ACI-
321740,248,+ACI-1266,93233366936+ACI-
573824,429,+ACI-1306,23543123543+ACI-
573824,426,+ACI-1315,43427230047+ACI-
1009014,745,+ACI-1322,63789848993+ACI-
107050,79,+ACI-1323,30399525316+ACI-
478886,351,+ACI-1332,37068198006+ACI-
8012705,5848,+ACI-1338,04843135474+ACI-
43574,31,+ACI-1372,66885080645+ACI-
603517,427,+ACI-1380,26245974824+ACI-
848806,599,+ACI-1383,82655989149+ACI-
124105,85,+ACI-1425,83869485294+ACI-
463639,311,+ACI-1455,86000301447+ACI-
463639,311,+ACI-1455,86000301447+ACI-
321740,214,+ACI-1468,22064836449+ACI-
463639,301,+ACI-1504,22744497508+ACI-
321740,205,+ACI-1532,67911585366+ACI-
463639,290,+ACI-1561,28434806034+ACI-
8297488,4997,+ACI-1621,57607064239+ACI-
478886,288,+ACI-1623,82676866319+ACI-
6897963,4133,+ACI-1629,87950452153+ACI-
603517,359,+ACI-1641,70493123259+ACI-
848806,504,+ACI-1644,66688368056+ACI-
647823360,383682,+ACI-1648,86546671462+ACI-
478886,281,+ACI-1664,27796930605+ACI-
7953382,4634,+ACI-1676,0842920533+ACI-
1009014,587,+ACI-1678,64605515332+ACI-
6897963,4001,+ACI-1683,65208502562+ACI-
8012705,4638,+ACI-1687,12963056544+ACI-
647823360,370923,+ACI-1705,5830994573+ACI-
238026752,136029,+ACI-1708,8120915393+ACI-
848806,485,+ACI-1709,09713273196+ACI-
647823360,369344,+ACI-1712,87471841969+ACI-
7700653,4382,+ACI-1716,14991905808+ACI-
647823360,368344,+ACI-1717,52492235519+ACI-
647823360,366910,+ACI-1724,23755144313+ACI-
238026752,134249,+ACI-1731,46913571051+ACI-
647823360,365217,+ACI-1732,23042738974+ACI-
238026752,134009,+ACI-1734,57006618958+ACI-
647823360,364703,+ACI-1734,67177401886+ACI-
463639,261,+ACI-1734,76038673372+ACI-
647823360,364052,+ACI-1737,77372463274+ACI-
8012705,4502,+ACI-1738,09578555364+ACI-
6897963,3875,+ACI-1738,39793346774+ACI-
238026752,133606,+ACI-1739,8021046959+ACI-
647823360,363624,+ACI-1739,81915385123+ACI-
238026752,133401,+ACI-1742,47569358551+ACI-
7522076,4208,+ACI-1745,66952085314+ACI-
647823360,362017,+ACI-1747,54224249137+ACI-
238026752,132945,+ACI-1748,4523675204+ACI-
238026752,132863,+ACI-1749,53147226843+ACI-
238026752,132747,+ACI-1751,06028761479+ACI-
238026752,132205,+ACI-1758,23909836996+ACI-
7700653,4265,+ACI-1763,22835763482+ACI-
238026752,131654,+ACI-1765,59770307017+ACI-
321740,176,+ACI-1785,22283380682+ACI-
573824,312,+ACI-1796,07371794872+ACI-
8012705,4344,+ACI-1801,31381826945+ACI-
5963776,3222,+ACI-1807,57293606456+ACI-
4905254,2643,+ACI-1812,44309851495+ACI-
8297488,4462,+ACI-1816,00529471089+ACI-
405687,218,+ACI-1817,33353641055+ACI-
9945088,5322,+ACI-1824,87786546411+ACI-
405687,216,+ACI-1834,16069878472+ACI-
603517,321,+ACI-1836,05006327882+ACI-
6897963,3666,+ACI-1837,5046350757+ACI-
43574,23,+ACI-1850,11888586957+ACI-
43574,23,+ACI-1850,11888586957+ACI-
9945088,5224,+ACI-1859,11179173047+ACI-
8297488,4358,+ACI-1859,34273175769+ACI-
6947882,3644,+ACI-1861,97612942508+ACI-
7700653,4023,+ACI-1869,2937969954+ACI-
7953382,4154,+ACI-1869,75797048026+ACI-
5963776,3114,+ACI-1870,26332691073+ACI-
1084673,565,+ACI-1874,78048949115+ACI-
9945088,5165,+ACI-1880,34849951597+ACI-
5178593,2688,+ACI-1881,40614827474+ACI-
6947882,3604,+ACI-1882,6417912389+ACI-
9945088,5153,+ACI-1884,72734329517+ACI-
463639,240,+ACI-1886,55192057292+ACI-
463639,240,+ACI-1886,55192057292+ACI-
9945088,5114,+ACI-1899,10050840829+ACI-
5963776,3062,+ACI-1902,02482037884+ACI-
7522076,3862,+ACI-1902,06559910668+ACI-
7700653,3943,+ACI-1907,22012308204+ACI-
848806,434,+ACI-1909,9357358871+ACI-
6897963,3499,+ACI-1925,20491345742+ACI-
573824,291,+ACI-1925,68728522337+ACI-
7953382,4033,+ACI-1925,85534574138+ACI-
8012705,4045,+ACI-1934,46408567676+ACI-
8297488,4183,+ACI-1937,1301996175+ACI-
848806,425,+ACI-1950,38143382353+ACI-
6897963,3450,+ACI-1952,54840353261+ACI-
5178593,2583,+ACI-1957,88607300135+ACI-
573824,286,+ACI-1959,35314685315+ACI-
6947882,3462,+ACI-1959,86164518342+ACI-
7522076,3744,+ACI-1962,01317942041+ACI-
5178593,2574,+ACI-1964,73182850136+ACI-
478886,238,+ACI-1964,96684611345+ACI-
6947882,3452,+ACI-1965,53911228998+ACI-
573824,285,+ACI-1966,22807017544+ACI-
5178593,2572,+ACI-1966,25961374903+ACI-
8297488,4117,+ACI-1968,18450935147+ACI-
5963776,2954,+ACI-1971,56398104265+ACI-
9945088,4925,+ACI-1971,97969543147+ACI-
6897963,3411,+ACI-1974,87305546394+ACI-
7700653,3796,+ACI-1981,07717210551+ACI-
478886,236,+ACI-1981,61910752119+ACI-
3363260,1657,+ACI-1982,15666490646+ACI-
6897963,3396,+ACI-1983,59599298807+ACI-
9945088,4896,+ACI-1983,66013071895+ACI-
7522076,3702,+ACI-1984,27264823069+ACI-
9945088,4894,+ACI-1984,47078054761+ACI-
6947882,3417,+ACI-1985,67193901814+ACI-
9945088,4885,+ACI-1988,12691914023+ACI-
463639,227,+ACI-1994,59233893172+ACI-
7700653,3767,+ACI-1996,32836350212+ACI-
7953382,3884,+ACI-1999,73599623455+ACI-
8297488,4043,+ACI-2004,20866312144+ACI-
8012705,3895,+ACI-2008,96206073492+ACI-
603517,293,+ACI-2011,50877239761+ACI-
603517,293,+ACI-2011,50877239761+ACI-
603517,292,+ACI-2018,39750107021+ACI-
5178593,2502,+ACI-2021,27087392586+ACI-
5963776,2872,+ACI-2027,85515320334+ACI-
7953382,3827,+ACI-2029,5204100797+ACI-
4905254,2354,+ACI-2034,95629115336+ACI-
6897963,3306,+ACI-2037,59588390426+ACI-
7700653,3689,+ACI-2038,53861353009+ACI-
848806,406,+ACI-2041,65544181034+ACI-
7700653,3678,+ACI-2044,63538480492+ACI-
8012705,3825,+ACI-2045,72737949346+ACI-
7522076,3586,+ACI-2048,45993969604+ACI-
7522076,3585,+ACI-2049,03133716876+ACI-
6947882,3309,+ACI-2050,48081463433+ACI-
5963776,2837,+ACI-2052,872752908+ACI-
7700653,3659,+ACI-2055,2525130671+ACI-
7953382,3775,+ACI-2057,47671771523+ACI-
7953382,3773,+ACI-2058,56734942354+ACI-
7700653,3651,+ACI-2059,75594229321+ACI-
6947882,3293,+ACI-2060,4436731324+ACI-
7522076,3558,+ACI-2064,58047885048+ACI-
5178593,2438,+ACI-2074,33130703958+ACI-
7522076,3541,+ACI-2074,49233090935+ACI-
8297488,3905,+ACI-2075,03601152369+ACI-
7953382,3742,+ACI-2075,62122110502+ACI-
5963776,2805,+ACI-2076,29233511586+ACI-
5178593,2421,+ACI-2088,89703699401+ACI-
124105,58,+ACI-2089,59119073276+ACI-
5178593,2418,+ACI-2091,48872066274+ACI-
6947882,3237,+ACI-2096,08928502471+ACI-
405687,189,+ACI-2096,18365575397+ACI-
6947882,3236,+ACI-2096,73702584209+ACI-
7522076,3499,+ACI-2099,39335345813+ACI-
8012705,3727,+ACI-2099,51897680775+ACI-
7522076,3496,+ACI-2101,194892377+ACI-
2232746,1036,+ACI-2104,64866373069+ACI-
5963776,2763,+ACI-2107,85378212088+ACI-
4846713,2237,+ACI-2115,83288514193+ACI-
848806,391,+ACI-2119,9798193734+ACI-
8297488,3818,+ACI-2122,3194408067+ACI-
8012705,3684,+ACI-2124,02476291056+ACI-
4905254,2251,+ACI-2128,07068386273+ACI-
4905254,2250,+ACI-2129,01649305556+ACI-
7953382,3648,+ACI-2129,10488195587+ACI-
107050,49,+ACI-2133,49011479592+ACI-
4846713,2217,+ACI-2134,92023638363+ACI-
8297488,3794,+ACI-2135,74476146547+ACI-
4846713,2212,+ACI-2139,74600545321+ACI-
4846713,2204,+ACI-2147,51277861275+ACI-
5963776,2706,+ACI-2152,25424981523+ACI-
4846713,2199,+ACI-2152,39570898704+ACI-
4905254,2224,+ACI-2153,90607435926+ACI-
6897963,3105,+ACI-2169,49822614734+ACI-
7953382,3578,+ACI-2170,75869462689+ACI-
848806,381,+ACI-2175,62233431759+ACI-
405687,182,+ACI-2176,8061040522+ACI-
5963776,2672,+ACI-2179,64071856287+ACI-
848806,379,+ACI-2187,10319096306+ACI-
8012705,3565,+ACI-2194,92488823633+ACI-
6947882,3079,+ACI-2203,65086574375+ACI-
1084673,480,+ACI-2206,77286783854+ACI-
4846713,2119,+ACI-2233,65651914228+ACI-
3409257,1488,+ACI-2237,46810420867+ACI-
321740,140,+ACI-2244,28013392857+ACI-
3409257,1480,+ACI-2249,56252639358+ACI-
60606,26,+ACI-2276,3671875+ACI-
573824,245,+ACI-2287,24489795918+ACI-
1009014,429,+ACI-2296,88865821678+ACI-
1009014,426,+ACI-2313,06393045775+ACI-
5178593,2177,+ACI-2323,02238243569+ACI-
4905254,2059,+ACI-2326,51146642788+ACI-
478886,200,+ACI-2338,310546875+ACI-
1009014,420,+ACI-2346,10770089286+ACI-
4905254,2036,+ACI-2352,79327572446+ACI-
4905254,2035,+ACI-2353,94943949631+ACI-
43574,18,+ACI-2364,04079861111+ACI-
43574,18,+ACI-2364,04079861111+ACI-
1084673,447,+ACI-2369,68898559843+ACI-
4846713,1997,+ACI-2370,11425341137+ACI-
107050,44,+ACI-2375,93217329545+ACI-
124105,51,+ACI-2376,3978247549+ACI-
3409257,1400,+ACI-2378,10895647321+ACI-
1084673,445,+ACI-2380,33927317416+ACI-
848806,347,+ACI-2388,79570425072+ACI-
603517,246,+ACI-2395,82142403455+ACI-
603517,245,+ACI-2405,6002869898+ACI-
4846713,1966,+ACI-2407,48634998093+ACI-
321740,130,+ACI-2416,91706730769+ACI-
4905254,1981,+ACI-2418,11565339475+ACI-
1009014,407,+ACI-2421,04480190418+ACI-
1009014,406,+ACI-2427,00796644089+ACI-
573824,230,+ACI-2436,41304347826+ACI-
4905254,1961,+ACI-2442,77772023202+ACI-
1009014,400,+ACI-2463,4130859375+ACI-
573824,226,+ACI-2479,53539823009+ACI-
3409257,1340,+ACI-2484,59144706157+ACI-
