 Tamanho(bytes), Tempo(ms),LarguraDeBanda(kb/s)
43574,487,+ACI-87,3772779774127+ACI-
1084673,6281,+ACI-168,643683579446+ACI-
2232746,11423,+ACI-190,87945510155+ACI-
3363260,14603,+ACI-224,914989642539+ACI-
2459010,8633,+ACI-278,16251049751+ACI-
478886,1551,+ACI-301,522958978079+ACI-
3409257,8111,+ACI-410,473744182283+ACI-
78311,181,+ACI-422,517049378453+ACI-
2459010,5276,+ACI-455,151052525588+ACI-
4846713,10235,+ACI-462,444373626038+ACI-
81702,169,+ACI-472,113073224852+ACI-
62372,124,+ACI-491,2109375+ACI-
86564,171,+ACI-494,357638888889+ACI-
62372,123,+ACI-495,204522357724+ACI-
573824,1093,+ACI-512,694419030192+ACI-
81702,155,+ACI-514,755544354839+ACI-
1009014,1902,+ACI-518,067946569401+ACI-
43574,78,+ACI-545,547876602564+ACI-
62303,111,+ACI-548,133094031532+ACI-
69598,119,+ACI-571,149553571429+ACI-
81702,135,+ACI-591,015625+ACI-
3409257,5533,+ACI-601,72646648518+ACI-
573824,912,+ACI-614,446271929825+ACI-
43574,69,+ACI-616,706295289855+ACI-
1084673,1717,+ACI-616,919613606581+ACI-
107050,168,+ACI-622,26795014881+ACI-
60606,94,+ACI-629,633477393617+ACI-
3363260,5052,+ACI-650,125414439826+ACI-
603517,884,+ACI-666,710486778846+ACI-
62303,90,+ACI-676,030815972222+ACI-
78311,113,+ACI-676,775096792035+ACI-
86564,124,+ACI-681,735131048387+ACI-
124105,177,+ACI-684,724796963277+ACI-
107050,144,+ACI-725,979275173611+ACI-
62372,82,+ACI-742,806783536585+ACI-
5178593,6648,+ACI-760,712955259101+ACI-
321740,408,+ACI-770,096124387255+ACI-
86564,108,+ACI-782,732928240741+ACI-
81702,101,+ACI-789,971379950495+ACI-
60606,74,+ACI-799,8046875+ACI-
3409257,4140,+ACI-804,19143455616+ACI-
78311,95,+ACI-805,006167763158+ACI-
124105,150,+ACI-807,975260416667+ACI-
69598,84,+ACI-809,128534226191+ACI-
4846713,5843,+ACI-810,049317826887+ACI-
86564,103,+ACI-820,729672330097+ACI-
78311,93,+ACI-822,318128360215+ACI-
107050,127,+ACI-823,157603346457+ACI-
86564,102,+ACI-828,776041666667+ACI-
107050,126,+ACI-829,690600198413+ACI-
62303,73,+ACI-833,462649828767+ACI-
62372,71,+ACI-857,889524647887+ACI-
62372,71,+ACI-857,889524647887+ACI-
86564,98,+ACI-862,603635204082+ACI-
81702,92,+ACI-867,251188858696+ACI-
69598,78,+ACI-871,369190705128+ACI-
62303,69,+ACI-881,779325181159+ACI-
62372,69,+ACI-882,755887681159+ACI-
321740,350,+ACI-897,712053571429+ACI-
