Tipo; Extensao; Tamanho(bytes); TempoClient(ms); TempoServer(ms)
SERVER_EXTERNAL;.png;43574;118;18
SERVER_EXTERNAL;.png;60606;171;4
SERVER_EXTERNAL;.png;62303;94;4
SERVER_EXTERNAL;.png;62372;173;3
SERVER_EXTERNAL;.png;69598;199;1
SERVER_EXTERNAL;.png;78311;114;7
SERVER_EXTERNAL;.png;81702;107;2
SERVER_EXTERNAL;.png;86564;180;3
SERVER_EXTERNAL;.pdf;107050;136;24
SERVER_EXTERNAL;.png;124105;130;32
SERVER_EXTERNAL;.pdf;321740;222;117
SERVER_EXTERNAL;.pdf;405687;403;155
SERVER_EXTERNAL;.pdf;463639;284;175
SERVER_EXTERNAL;.mp4;478886;330;188
SERVER_EXTERNAL;.pdf;573824;597;245
SERVER_EXTERNAL;.mp4;603517;358;225
SERVER_EXTERNAL;.png;848806;784;504
SERVER_EXTERNAL;.pdf;1009014;874;745
SERVER_EXTERNAL;.pdf;1084673;527;402
SERVER_EXTERNAL;.mp4;2232746;950;589
SERVER_EXTERNAL;.pdf;2459010;1107;834
SERVER_EXTERNAL;.mp3;3363260;1387;928
SERVER_EXTERNAL;.pdf;3409257;1424;1099
SERVER_EXTERNAL;.mp3;4846713;3365;2212
SERVER_EXTERNAL;.mp3;4905254;2884;2354
SERVER_EXTERNAL;.mp3;5178593;3104;2583
SERVER_EXTERNAL;.mp3;5963776;3362;2954
SERVER_EXTERNAL;.mp3;6897963;3995;3411
SERVER_EXTERNAL;.pdf;6947882;3792;3417
SERVER_EXTERNAL;.mp3;7522076;4230;3862
SERVER_EXTERNAL;.mp3;7700653;4232;3678
SERVER_EXTERNAL;.mp4;7953382;4253;3773
SERVER_EXTERNAL;.mp3;8012705;3959;3565
SERVER_EXTERNAL;.mp4;8297488;4469;3818
SERVER_EXTERNAL;.mp3;9945088;5669;5153
SERVER_EXTERNAL;.iso;238026752;133143;132863
SERVER_EXTERNAL;.iso;647823360;367281;366910
SERVER_EXTERNAL;.png;43574;268;16
SERVER_EXTERNAL;.png;60606;133;2
SERVER_EXTERNAL;.png;62303;103;3
SERVER_EXTERNAL;.png;62372;96;4
SERVER_EXTERNAL;.png;69598;161;2
SERVER_EXTERNAL;.png;78311;99;1
SERVER_EXTERNAL;.png;81702;116;3
SERVER_EXTERNAL;.png;86564;126;2
SERVER_EXTERNAL;.pdf;107050;243;26
SERVER_EXTERNAL;.png;124105;148;24
SERVER_EXTERNAL;.pdf;321740;244;250
SERVER_EXTERNAL;.pdf;405687;357;218
SERVER_EXTERNAL;.pdf;463639;354;290
SERVER_EXTERNAL;.mp4;478886;338;200
SERVER_EXTERNAL;.pdf;573824;338;291
