TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms)
1513882524485;1513882524605;1513879100731;1513879100747;.png;43574;120;16
1513882525666;1513882525820;1513879101882;1513879101884;.png;60606;154;2
1513882526861;1513882526985;1513879103022;1513879103025;.png;62303;124;3
1513882528012;1513882528132;1513879104175;1513879104177;.png;62372;120;2
1513882529157;1513882529335;1513879105431;1513879105442;.png;69598;178;11
1513882530364;1513882530516;1513879106601;1513879106603;.png;78311;152;2
1513882531554;1513882531724;1513879107759;1513879107765;.png;81702;170;6
1513882532768;1513882532937;1513879108916;1513879108917;.png;86564;169;1
1513882533966;1513882534155;1513879110099;1513879110130;.pdf;107050;189;31
1513882535192;1513882535423;1513879111289;1513879111314;.png;124105;231;25
1513882536458;1513882536868;1513879112565;1513879112779;.pdf;321740;410;214
1513882537929;1513882538419;1513879113960;1513879114176;.pdf;405687;490;216
1513882539462;1513882539908;1513879118855;1513879119116;.pdf;463639;446;261
1513882540946;1513882541389;1513879120290;1513879120526;.mp4;478886;443;236
1513882542434;1513882543097;1513879121736;1513879122021;.pdf;573824;663;285
1513882544137;1513882544632;1513879123242;1513879123535;.mp4;603517;495;293
1513882545687;1513882546255;1513879124747;1513879125232;.png;848806;568;485
1513882547295;1513882547872;1513879127393;1513879127822;.pdf;1009014;577;429
1513882548912;1513882549494;1513879129062;1513879129542;.pdf;1084673;582;480
1513882550536;1513882551382;1513879130701;1513879131737;.mp4;2232746;846;1036
1513882552424;1513882553360;1513879133260;1513879133961;.pdf;2459010;936;701
1513882554403;1513882555802;1513879135221;1513879136878;.mp3;3363260;1399;1657
1513882556841;1513882558360;1513879138436;1513879139776;.pdf;3409257;1519;1340
1513882559408;1513882562135;1513879141062;1513879143261;.mp3;4846713;2727;2199
1513882563258;1513882566054;1513879144791;1513879147434;.mp3;4905254;2796;2643
1513882567085;1513882569937;1513879149483;1513879151985;.mp3;5178593;2852;2502
1513882570975;1513882574502;1513879153540;1513879156377;.mp3;5963776;3527;2837
1513882575539;1513882579414;1513879158011;1513879162012;.mp3;6897963;3875;4001
1513882580457;1513882584362;1513879163350;1513879166586;.pdf;6947882;3905;3236
1513882585409;1513882589396;1513879168307;1513879171803;.mp3;7522076;3987;3496
1513882590435;1513882594665;1513879174123;1513879178388;.mp3;7700653;4230;4265
1513882595723;1513882599919;1513879179782;1513879183936;.mp4;7953382;4196;4154
1513882600965;1513882605282;1513879185265;1513879189767;.mp3;8012705;4317;4502
1513882606323;1513882610528;1513879191184;1513879195367;.mp4;8297488;4205;4183
1513882611572;1513882616757;1513879196853;1513879204557;.mp3;9945088;5185;7704
1513882617795;1513882751164;1513879206309;1513879340318;.iso;238026752;133369;134009
1513882752222;1513883122063;1513879342022;1513879710366;.iso;647823360;369841;368344
