Tipo; Extensao; Tamanho(bytes); TT1(ms); TT2(ms); TT3(ms); TT4(ms); TT5(ms); TT6(ms); TT7(ms); TT8(ms); TT9(ms); TT10(ms); TempoMedio(ms)
Client;.png;43574;118.0;268.0;105.0;92.0;216.0;121.0;120.0;174.0;115.0;103.0;143.2
Client;.png;60606;171.0;133.0;96.0;109.0;101.0;104.0;154.0;126.0;143.0;198.0;133.5
Client;.png;62303;94.0;103.0;101.0;109.0;238.0;100.0;124.0;162.0;110.0;126.0;126.7
Client;.png;62372;173.0;96.0;243.0;103.0;167.0;134.0;120.0;113.0;112.0;127.0;138.8
Client;.png;69598;199.0;161.0;98.0;227.0;146.0;175.0;178.0;92.0;119.0;159.0;155.4
Client;.png;78311;114.0;99.0;121.0;130.0;120.0;123.0;152.0;151.0;103.0;126.0;123.9
Client;.png;81702;107.0;116.0;187.0;116.0;120.0;116.0;170.0;133.0;218.0;138.0;142.1
Client;.png;86564;180.0;126.0;122.0;118.0;115.0;134.0;169.0;134.0;227.0;254.0;157.9
Client;.pdf;107050;136.0;243.0;137.0;168.0;194.0;149.0;189.0;140.0;146.0;167.0;166.9
Client;.png;124105;130.0;148.0;173.0;224.0;159.0;198.0;231.0;159.0;158.0;165.0;174.5
Client;.pdf;321740;222.0;244.0;352.0;336.0;421.0;239.0;410.0;250.0;287.0;311.0;307.2
Client;.pdf;405687;403.0;357.0;349.0;408.0;354.0;284.0;490.0;382.0;384.0;629.0;404.0
Client;.pdf;463639;284.0;354.0;577.0;385.0;350.0;419.0;446.0;342.0;394.0;467.0;401.8
Client;.mp4;478886;330.0;338.0;362.0;389.0;479.0;328.0;443.0;554.0;393.0;611.0;422.7
Client;.pdf;573824;597.0;338.0;421.0;449.0;621.0;348.0;663.0;456.0;444.0;800.0;513.7
Client;.mp4;603517;358.0;381.0;672.0;473.0;441.0;373.0;495.0;476.0;462.0;561.0;469.2
Client;.png;848806;784.0;592.0;563.0;636.0;589.0;594.0;568.0;507.0;498.0;754.0;608.5
Client;.pdf;1009014;874.0;517.0;797.0;611.0;542.0;623.0;577.0;558.0;599.0;576.0;627.4
Client;.pdf;1084673;527.0;745.0;569.0;604.0;635.0;546.0;582.0;543.0;595.0;573.0;591.9
Client;.mp4;2232746;950.0;989.0;940.0;1529.0;959.0;985.0;846.0;942.0;1039.0;884.0;1006.3
Client;.pdf;2459010;1107.0;965.0;852.0;903.0;932.0;952.0;936.0;847.0;1022.0;940.0;945.6
Client;.mp3;3363260;1387.0;1641.0;1642.0;2176.0;1568.0;1542.0;1399.0;1625.0;1635.0;1409.0;1602.4
Client;.pdf;3409257;1424.0;1658.0;1722.0;1603.0;1518.0;1539.0;1519.0;1625.0;1612.0;1728.0;1594.8
Client;.mp3;4846713;3365.0;2430.0;2581.0;2633.0;2596.0;2907.0;2727.0;2859.0;2392.0;2602.0;2709.2
Client;.mp3;4905254;2884.0;2456.0;2791.0;3549.0;2727.0;3453.0;2796.0;2757.0;2647.0;2759.0;2881.9
Client;.mp3;5178593;3104.0;2475.0;2872.0;3166.0;2967.0;3030.0;2852.0;3164.0;3014.0;3117.0;2976.1
Client;.mp3;5963776;3362.0;3016.0;3348.0;3434.0;3039.0;3553.0;3527.0;3365.0;3461.0;3396.0;3350.1
Client;.mp3;6897963;3995.0;4825.0;3883.0;4272.0;3458.0;4215.0;3875.0;4069.0;3701.0;3648.0;3994.1
Client;.pdf;6947882;3792.0;4288.0;3631.0;3913.0;3403.0;3699.0;3905.0;3806.0;3673.0;4044.0;3815.4
Client;.mp3;7522076;4230.0;4077.0;4401.0;4757.0;4503.0;3848.0;3987.0;4243.0;3989.0;4327.0;4236.2
Client;.mp3;7700653;4232.0;4078.0;4000.0;4611.0;4050.0;4031.0;4230.0;4544.0;4215.0;4914.0;4290.5
Client;.mp4;7953382;4253.0;4486.0;4224.0;4442.0;4440.0;4096.0;4196.0;4326.0;4806.0;4306.0;4357.5
Client;.mp3;8012705;3959.0;4462.0;5074.0;4866.0;4365.0;4066.0;4317.0;4347.0;4587.0;6744.0;4678.7
Client;.mp4;8297488;4469.0;4707.0;4349.0;4626.0;4554.0;4553.0;4205.0;5275.0;4758.0;7053.0;4854.9
Client;.mp3;9945088;5669.0;5269.0;5368.0;8381.0;5552.0;6193.0;5185.0;5425.0;5600.0;5546.0;5818.8
Client;.iso;238026752;133143.0;132958.0;136461.0;134712.0;133970.0;132471.0;133369.0;133330.0;134679.0;133809.0;133890.2
Client;.iso;647823360;367281.0;365322.0;384268.0;368797.0;362372.0;366127.0;369841.0;371447.0;364690.0;364228.0;368437.3
