Tipo; Extensao; Tamanho(bytes); TT1(ms); TT2(ms); TT3(ms); TT4(ms); TT5(ms); TT6(ms); TT7(ms); TT8(ms); TT9(ms); TT10(ms); TempoMedio(ms)
ServerExternal;.png;43574;18.0;16.0;23.0;18.0;23.0;31.0;16.0;12.0;60.0;11.0;22.8
ServerExternal;.png;60606;4.0;2.0;3.0;3.0;4.0;18.0;2.0;5.0;26.0;2.0;6.9
ServerExternal;.png;62303;4.0;3.0;3.0;4.0;6.0;4.0;3.0;5.0;3.0;11.0;4.6
ServerExternal;.png;62372;3.0;4.0;8.0;3.0;4.0;1.0;2.0;4.0;2.0;4.0;3.5
ServerExternal;.png;69598;1.0;2.0;2.0;2.0;3.0;1.0;11.0;1.0;2.0;20.0;4.5
ServerExternal;.png;78311;7.0;1.0;3.0;4.0;5.0;2.0;2.0;4.0;6.0;3.0;3.7
ServerExternal;.png;81702;2.0;3.0;2.0;3.0;2.0;1.0;6.0;2.0;1.0;3.0;2.5
ServerExternal;.png;86564;3.0;2.0;3.0;2.0;107.0;1.0;1.0;17.0;2.0;17.0;15.5
ServerExternal;.pdf;107050;24.0;26.0;44.0;79.0;37.0;37.0;31.0;35.0;26.0;49.0;38.8
ServerExternal;.png;124105;32.0;24.0;58.0;85.0;26.0;38.0;25.0;29.0;25.0;51.0;39.3
ServerExternal;.pdf;321740;117.0;250.0;205.0;248.0;140.0;126.0;214.0;130.0;100.0;176.0;170.6
ServerExternal;.pdf;405687;155.0;218.0;189.0;339.0;140.0;182.0;216.0;147.0;156.0;480.0;222.2
ServerExternal;.pdf;463639;175.0;290.0;179.0;311.0;240.0;240.0;261.0;301.0;227.0;311.0;253.5
ServerExternal;.mp4;478886;188.0;200.0;288.0;281.0;238.0;153.0;236.0;180.0;399.0;351.0;251.4
ServerExternal;.pdf;573824;245.0;291.0;429.0;426.0;312.0;226.0;285.0;230.0;286.0;623.0;335.3
ServerExternal;.mp4;603517;225.0;530.0;293.0;359.0;321.0;246.0;293.0;245.0;292.0;427.0;323.1
ServerExternal;.png;848806;504.0;391.0;379.0;434.0;381.0;406.0;485.0;425.0;347.0;599.0;435.1
ServerExternal;.pdf;1009014;745.0;587.0;420.0;400.0;407.0;346.0;429.0;406.0;362.0;426.0;452.8
ServerExternal;.pdf;1084673;402.0;445.0;447.0;407.0;378.0;565.0;480.0;384.0;425.0;380.0;431.3
ServerExternal;.mp4;2232746;589.0;771.0;744.0;623.0;796.0;649.0;1036.0;692.0;777.0;711.0;738.8
ServerExternal;.pdf;2459010;834.0;558.0;743.0;731.0;811.0;662.0;701.0;541.0;551.0;732.0;686.4
ServerExternal;.mp3;3363260;928.0;1004.0;856.0;997.0;752.0;927.0;1657.0;1107.0;1086.0;846.0;1016.0
ServerExternal;.pdf;3409257;1099.0;1480.0;1206.0;1105.0;1336.0;1400.0;1340.0;1147.0;1293.0;1488.0;1289.4
ServerExternal;.mp3;4846713;2212.0;2217.0;1703.0;1966.0;1997.0;1866.0;2199.0;2204.0;2237.0;2119.0;2072.0
ServerExternal;.mp3;4905254;2354.0;2251.0;2035.0;1961.0;2224.0;1981.0;2643.0;2250.0;2059.0;2036.0;2179.4
ServerExternal;.mp3;5178593;2583.0;1978.0;2421.0;2574.0;2572.0;2177.0;2502.0;2418.0;2688.0;2438.0;2435.1
ServerExternal;.mp3;5963776;2954.0;2805.0;2763.0;3222.0;3114.0;2672.0;2837.0;3062.0;2706.0;2872.0;2900.7
ServerExternal;.mp3;6897963;3411.0;3499.0;3105.0;3450.0;3396.0;4133.0;4001.0;3875.0;3666.0;3306.0;3584.2
ServerExternal;.pdf;6947882;3417.0;3293.0;3079.0;3462.0;3452.0;3644.0;3236.0;3309.0;3237.0;3604.0;3373.3
ServerExternal;.mp3;7522076;3862.0;3702.0;4208.0;3585.0;3744.0;3558.0;3496.0;3499.0;3586.0;3541.0;3678.1
ServerExternal;.mp3;7700653;3678.0;3796.0;3651.0;3659.0;3943.0;3767.0;4265.0;3689.0;4023.0;4382.0;3885.3
ServerExternal;.mp4;7953382;3773.0;3648.0;3742.0;3884.0;4634.0;4033.0;4154.0;3578.0;3775.0;3827.0;3904.8
ServerExternal;.mp3;8012705;3565.0;4638.0;3684.0;3825.0;4344.0;4045.0;4502.0;3727.0;3895.0;5848.0;4207.3
ServerExternal;.mp4;8297488;3818.0;4117.0;4043.0;3794.0;4358.0;4462.0;4183.0;3905.0;4997.0;6796.0;4447.3
ServerExternal;.mp3;9945088;5153.0;5165.0;5322.0;4896.0;4885.0;4925.0;7704.0;5224.0;4894.0;5114.0;5328.2
ServerExternal;.iso;238026752;132863.0;136029.0;133606.0;132747.0;134249.0;132205.0;134009.0;131654.0;132945.0;133401.0;133370.8
ServerExternal;.iso;647823360;366910.0;383682.0;362017.0;369344.0;364052.0;364703.0;368344.0;365217.0;370923.0;363624.0;367881.6
