Tipo, Extensao, Tamanho(bytes), TempoClient(ms), TempoServer(ms), RTT(ms),TempoTotal(ms)
SERVER+AF8-EXTERNAL,.png,43574,32,69,71.94,101
SERVER+AF8-EXTERNAL,.png,60606,8,63,28.7,71
SERVER+AF8-EXTERNAL,.png,62303,6,69,23.9,75
SERVER+AF8-EXTERNAL,.png,62372,25,124,30.520000000000003,149
SERVER+AF8-EXTERNAL,.png,69598,10,72,23.44,82
SERVER+AF8-EXTERNAL,.png,78311,45,95,38.480000000000004,140
SERVER+AF8-EXTERNAL,.png,81702,10,169,25.380000000000003,179
SERVER+AF8-EXTERNAL,.png,86564,7,103,23.02,110
SERVER+AF8-EXTERNAL,.pdf,107050,49,144,31.0,193
SERVER+AF8-EXTERNAL,.png,124105,50,150,22.759999999999998,200
SERVER+AF8-EXTERNAL,.pdf,321740,224,263,27.22,487
SERVER+AF8-EXTERNAL,.pdf,405687,249,327,26.359999999999996,576
SERVER+AF8-EXTERNAL,.pdf,463639,349,462,24.06,811
SERVER+AF8-EXTERNAL,.mp4,478886,305,410,33.96,715
SERVER+AF8-EXTERNAL,.pdf,573824,405,445,24.68,850
SERVER+AF8-EXTERNAL,.mp4,603517,464,511,22.840000000000003,975
SERVER+AF8-EXTERNAL,.png,848806,635,668,45.6,1303
SERVER+AF8-EXTERNAL,.pdf,1009014,1877,1902,25.72,3779
SERVER+AF8-EXTERNAL,.pdf,1084673,1151,1176,21.84,2327
SERVER+AF8-EXTERNAL,.mp4,2232746,10767,11423,22.139999999999997,22190
SERVER+AF8-EXTERNAL,.pdf,2459010,8254,8633,22.04,16887
SERVER+AF8-EXTERNAL,.mp3,3363260,14101,14603,29.979999999999997,28704
SERVER+AF8-EXTERNAL,.pdf,3409257,7951,8111,39.3,16062
SERVER+AF8-EXTERNAL,.mp3,4846713,10046,10235,117.25999999999999,20281
SERVER+AF8-EXTERNAL,.mp3,4905254,4953,5158,30.04,10111
SERVER+AF8-EXTERNAL,.mp3,5178593,6581,6648,26.24,13229
SERVER+AF8-EXTERNAL,.mp3,5963776,3916,3969,23.919999999999998,7885
SERVER+AF8-EXTERNAL,.mp3,6897963,4998,5178,23.359999999999996,10176
SERVER+AF8-EXTERNAL,.pdf,6947882,4131,4242,24.240000000000002,8373
SERVER+AF8-EXTERNAL,.mp3,7522076,4645,4938,24.92,9583
SERVER+AF8-EXTERNAL,.mp3,7700653,4143,4321,23.759999999999998,8464
SERVER+AF8-EXTERNAL,.mp4,7953382,4758,4839,49.96,9597
SERVER+AF8-EXTERNAL,.mp3,8012705,4111,4184,23.4,8295
SERVER+AF8-EXTERNAL,.mp4,8297488,3986,4051,22.42,8037
SERVER+AF8-EXTERNAL,.mp3,9945088,5274,5372,23.98,10646
SERVER+AF8-EXTERNAL,.iso,238026752,151187,151322,36.36,302509
SERVER+AF8-EXTERNAL,.iso,647823360,395081,395412,23.4,790493
SERVER+AF8-EXTERNAL,.png,43574,10,38,33.940000000000005,48
SERVER+AF8-EXTERNAL,.png,60606,8,34,23.540000000000003,42
SERVER+AF8-EXTERNAL,.png,62303,12,63,37.36,75
SERVER+AF8-EXTERNAL,.png,62372,4,58,23.099999999999998,62
SERVER+AF8-EXTERNAL,.png,69598,9,61,22.44,70
SERVER+AF8-EXTERNAL,.png,78311,12,69,32.88000000000001,81
