REQUEST_SEARCH,0,1513817769865,192.168.1.4,XT1069,-,SERVER_EXTERNAL,,
71.94,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817784835,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
28.7,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817860031,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817860056,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817860087,1513817860179,.jpg,164895,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817860189,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
23.9,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817955107,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817955133,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817955139,1513817955171,.png,43574,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817955178,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
30.520000000000003,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817960657,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817960681,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817960689,1513817960697,.png,60606,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817960700,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
23.44,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817962078,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817962105,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817962105,1513817962111,.png,62303,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817962116,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
38.480000000000004,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817963636,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817963660,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817963660,1513817963685,.png,62372,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817963688,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
25.380000000000003,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817966142,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817966168,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817966173,1513817966183,.png,69598,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817966187,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
23.02,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817967593,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817967620,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817967620,1513817967665,.png,78311,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817967668,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
31.0,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817969140,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817969164,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817969165,1513817969175,.png,81702,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817969179,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
22.759999999999998,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817970556,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817970582,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817970583,1513817970590,.png,86564,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817970595,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
27.22,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817972947,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817972976,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817972980,1513817973029,.pdf,107050,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817973033,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
26.359999999999996,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817975455,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817975482,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817975491,1513817975541,.png,124105,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817975544,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
24.06,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817976984,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817977008,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817977008,1513817977232,.pdf,321740,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817977238,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
33.96,,,,,,,,
REQUEST_CONNECT,CLIENT,1513817979652,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
CONNECT,CLIENT,1513817979675,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
SEND,CLIENT,192.168.1.4,XT1069,1513817979678,1513817979927,.pdf,405687,SERVER_EXTERNAL
DISCONNECT,CLIENT,1513817979930,192.168.1.4,XT1069,-,-,-,SERVER_EXTERNAL
24.68,,,,,,,,
