TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms); RTT
1513818809328;1513818809338;1513818832118;1513818832156;.png;43574;10;38;33.940000000000005
1513818811778;1513818811786;1513818834570;1513818834604;.png;60606;8;34;23.540000000000003
1513818813244;1513818813256;1513818836049;1513818836112;.png;62303;12;63;37.36
1513818814646;1513818814650;1513818837457;1513818837515;.png;62372;4;58;23.099999999999998
1513818816050;1513818816059;1513818838822;1513818838883;.png;69598;9;61;22.44
1513818817505;1513818817517;1513818840272;1513818840341;.png;78311;12;69;32.88000000000001
1513818818897;1513818818909;1513818841670;1513818841743;.png;81702;12;73;22.8
1513818820308;1513818820320;1513818843084;1513818843208;.png;86564;12;124;22.139999999999997
1513818822762;1513818822772;1513818845530;1513818845618;.pdf;107050;10;88;34.18
1513818824210;1513818824233;1513818846979;1513818847075;.png;124105;23;96;26.119999999999997
1513818825679;1513818825866;1513818848459;1513818848680;.pdf;321740;187;221;33.160000000000004
1513818828292;1513818828517;1513818851063;1513818851317;.pdf;405687;225;254;21.94
1513818829950;1513818830237;1513818852722;1513818853032;.pdf;463639;287;310;29.4
1513818832681;1513818833011;1513818855452;1513818855830;.mp4;478886;330;378;24.74
1513818835459;1513818835778;1513818858229;1513818858585;.pdf;573824;319;356;22.4
1513818839249;1513818839523;1513818862020;1513818862312;.mp4;603517;274;292;31.040000000000003
1513818840919;1513818841331;1513818863691;1513818864118;.png;848806;412;427;23.359999999999996
1513818842737;1513818843189;1513818865512;1513818865998;.pdf;1009014;452;486;23.8
1513818844607;1513818845005;1513818867383;1513818867835;.pdf;1084673;398;452;26.160000000000004
1513818847508;1513818848715;1513818870282;1513818871609;.mp4;2232746;1207;1327;36.54
1513818850185;1513818851434;1513818872990;1513818874343;.pdf;2459010;1249;1353;29.139999999999997
1513818854959;1513818856850;1513818877732;1513818879745;.mp3;3363260;1891;2013;36.34
1513818859379;1513818861281;1513818882150;1513818884166;.pdf;3409257;1902;2016;32.339999999999996
1513818863107;1513818867210;1513818885885;1513818890246;.mp3;4846713;4103;4361;94.56
1513818871751;1513818874902;1513818894522;1513818897756;.mp3;4905254;3151;3234;34.82
1513818877379;1513818880440;1513818900155;1513818903329;.mp3;5178593;3061;3174;26.520000000000003
1513818882137;1513818885944;1513818904910;1513818908770;.mp3;5963776;3807;3860;45.160000000000004
1513818890338;1513818893952;1513818913116;1513818916874;.mp3;6897963;3614;3758;197.23999999999998
1513818896496;1513818899885;1513818919282;1513818923183;.pdf;6947882;3389;3901;36.239999999999995
1513818901292;1513818906073;1513818924073;1513818929039;.mp3;7522076;4781;4966;23.360000000000003
1513818908486;1513818913172;1513818931260;1513818936049;.mp3;7700653;4686;4789;22.74
1513818914657;1513818918986;1513818937433;1513818941939;.mp4;7953382;4329;4506;23.580000000000002
1513818922571;1513818926743;1513818945346;1513818949650;.mp3;8012705;4172;4304;39.28
1513818928228;1513818933728;1513818951004;1513818956688;.mp4;8297488;5500;5684;26.020000000000003
1513818937238;1513818942551;1513818960013;1513818965527;.mp3;9945088;5313;5514;25.380000000000003
1513818943972;1513819086798;1513818966747;1513819109678;.iso;238026752;142826;142931;24.140000000000004
1513819088333;1513819490559;1513819111117;1513819513609;.iso;647823360;402226;402492;26.78
