Tipo; Extensao; Tamanho(bytes); TT1(ms); TT2(ms); TT3(ms); TT4(ms); TT5(ms); TT6(ms); TT7(ms); TT8(ms); TT9(ms); TT10(ms); TempoMedio(ms)
Client;.png;43574;32.0;10.0;10.0;8.0;10.0;7.0;8.0;8.0;8.0;8.0;10.9
Client;.png;60606;8.0;8.0;7.0;8.0;11.0;3.0;8.0;8.0;7.0;4.0;7.2
Client;.png;62303;6.0;12.0;6.0;21.0;10.0;7.0;9.0;11.0;5.0;6.0;9.3
Client;.png;62372;25.0;4.0;5.0;7.0;8.0;9.0;8.0;8.0;8.0;6.0;8.8
Client;.png;69598;10.0;9.0;11.0;11.0;10.0;9.0;8.0;7.0;7.0;10.0;9.2
Client;.png;78311;45.0;12.0;8.0;8.0;11.0;5.0;11.0;9.0;4.0;7.0;12.0
Client;.png;81702;10.0;12.0;7.0;8.0;8.0;9.0;10.0;9.0;4.0;7.0;8.4
Client;.png;86564;7.0;12.0;7.0;9.0;9.0;8.0;11.0;8.0;9.0;7.0;8.7
Client;.pdf;107050;49.0;10.0;9.0;11.0;9.0;7.0;12.0;9.0;7.0;7.0;13.0
Client;.png;124105;50.0;23.0;9.0;10.0;13.0;8.0;10.0;7.0;8.0;8.0;14.6
Client;.pdf;321740;224.0;187.0;252.0;200.0;226.0;202.0;251.0;179.0;245.0;267.0;223.3
Client;.pdf;405687;249.0;225.0;192.0;198.0;317.0;236.0;259.0;249.0;258.0;294.0;247.7
Client;.pdf;463639;349.0;287.0;311.0;234.0;337.0;342.0;312.0;389.0;257.0;363.0;318.1
Client;.mp4;478886;305.0;330.0;226.0;271.0;360.0;289.0;288.0;533.0;1285.0;345.0;423.2
Client;.pdf;573824;405.0;319.0;1036.0;343.0;485.0;366.0;391.0;332.0;829.0;403.0;490.9
Client;.mp4;603517;464.0;274.0;366.0;407.0;408.0;541.0;346.0;368.0;1015.0;381.0;457.0
Client;.png;848806;635.0;412.0;419.0;423.0;824.0;507.0;451.0;473.0;616.0;426.0;518.6
Client;.pdf;1009014;1877.0;452.0;473.0;523.0;584.0;527.0;485.0;577.0;717.0;427.0;664.2
Client;.pdf;1084673;1151.0;398.0;498.0;609.0;1213.0;605.0;526.0;565.0;5230.0;492.0;1128.7
Client;.mp4;2232746;10767.0;1207.0;788.0;959.0;1229.0;870.0;780.0;785.0;2068.0;874.0;2032.7
Client;.pdf;2459010;8254.0;1249.0;913.0;869.0;1035.0;765.0;847.0;907.0;4119.0;915.0;1987.3
Client;.mp3;3363260;14101.0;1891.0;1339.0;1800.0;2302.0;1298.0;1537.0;1469.0;4917.0;1479.0;3213.3
Client;.pdf;3409257;7951.0;1902.0;1376.0;1315.0;4023.0;1657.0;1615.0;1492.0;5223.0;1323.0;2787.7
Client;.mp3;4846713;10046.0;4103.0;2031.0;2521.0;2294.0;2044.0;2167.0;2341.0;5575.0;2166.0;3528.8
Client;.mp3;4905254;4953.0;3151.0;2394.0;2402.0;2125.0;2325.0;2058.0;2143.0;2631.0;2109.0;2629.1
Client;.mp3;5178593;6581.0;3061.0;2612.0;2448.0;2496.0;2382.0;2461.0;2458.0;2804.0;2360.0;2966.3
Client;.mp3;5963776;3916.0;3807.0;3231.0;2937.0;3926.0;2949.0;3080.0;2958.0;2974.0;2978.0;3275.6
Client;.mp3;6897963;4998.0;3614.0;3745.0;3388.0;6406.0;3579.0;4205.0;3386.0;3943.0;3532.0;4079.6
Client;.pdf;6947882;4131.0;3389.0;4498.0;3524.0;3261.0;3729.0;3896.0;3471.0;3801.0;3431.0;3713.1
Client;.mp3;7522076;4645.0;4781.0;3964.0;4249.0;4122.0;3911.0;4423.0;4396.0;3915.0;4243.0;4264.9
Client;.mp3;7700653;4143.0;4686.0;4046.0;4432.0;3912.0;3884.0;4255.0;4044.0;4019.0;4617.0;4203.8
Client;.mp4;7953382;4758.0;4329.0;5620.0;4079.0;5859.0;5995.0;4334.0;4242.0;4417.0;5023.0;4865.6
Client;.mp3;8012705;4111.0;4172.0;4019.0;4045.0;4228.0;4362.0;4546.0;4016.0;4497.0;4290.0;4228.6
Client;.mp4;8297488;3986.0;5500.0;5538.0;4512.0;4476.0;4479.0;4914.0;4479.0;4084.0;4239.0;4620.7
Client;.mp3;9945088;5274.0;5313.0;5670.0;6127.0;5467.0;5135.0;6413.0;5855.0;5256.0;5268.0;5577.8
Client;.iso;238026752;151187.0;142826.0;135770.0;138089.0;139196.0;137943.0;134729.0;134954.0;137183.0;135507.0;138738.4
Client;.iso;647823360;395081.0;402226.0;376534.0;375182.0;387434.0;384028.0;385227.0;367536.0;379453.0;376695.0;382939.6
