Tipo; Extensao; Tamanho(bytes); TT1(ms); TT2(ms); TT3(ms); TT4(ms); TT5(ms); TT6(ms); TT7(ms); TT8(ms); TT9(ms); TT10(ms); TempoMedio(ms); RTTMedio(ms)
ServerExternal;.png;43574;69.0;38.0;22.0;2.0;15.0;78.0;39.0;40.0;487.0;2.0;79.2;32.378
ServerExternal;.png;60606;63.0;34.0;64.0;58.0;21.0;58.0;56.0;74.0;53.0;94.0;57.5;25.572
ServerExternal;.png;62303;69.0;63.0;55.0;73.0;111.0;90.0;56.0;62.0;57.0;63.0;69.9;27.666000000000004
ServerExternal;.png;62372;124.0;58.0;52.0;51.0;71.0;71.0;82.0;57.0;123.0;69.0;75.8;25.753999999999998
ServerExternal;.png;69598;72.0;61.0;68.0;26.0;84.0;62.0;119.0;78.0;54.0;66.0;69.0;29.110000000000007
ServerExternal;.png;78311;95.0;69.0;27.0;81.0;181.0;113.0;93.0;62.0;72.0;74.0;86.7;26.35
ServerExternal;.png;81702;169.0;73.0;92.0;82.0;101.0;60.0;155.0;70.0;135.0;88.0;102.5;25.42
ServerExternal;.png;86564;103.0;124.0;68.0;68.0;91.0;171.0;102.0;98.0;81.0;108.0;101.4;29.088
ServerExternal;.pdf;107050;144.0;88.0;77.0;99.0;126.0;168.0;115.0;78.0;102.0;127.0;112.4;27.77
ServerExternal;.png;124105;150.0;96.0;87.0;96.0;177.0;100.0;122.0;116.0;115.0;126.0;118.5;26.47
ServerExternal;.pdf;321740;263.0;221.0;320.0;287.0;295.0;230.0;350.0;208.0;305.0;408.0;288.7;24.54
ServerExternal;.pdf;405687;327.0;254.0;217.0;234.0;360.0;259.0;323.0;273.0;289.0;344.0;288.0;27.024
ServerExternal;.pdf;463639;462.0;310.0;334.0;268.0;414.0;377.0;353.0;412.0;297.0;415.0;364.2;30.568
ServerExternal;.mp4;478886;410.0;378.0;235.0;287.0;434.0;318.0;304.0;486.0;1551.0;404.0;480.7;24.669999999999998
ServerExternal;.pdf;573824;445.0;356.0;1093.0;373.0;470.0;388.0;438.0;358.0;912.0;437.0;527.0;27.55
ServerExternal;.mp4;603517;511.0;292.0;396.0;425.0;459.0;606.0;397.0;399.0;884.0;418.0;478.7;33.024
ServerExternal;.png;848806;668.0;427.0;430.0;436.0;829.0;530.0;487.0;525.0;642.0;455.0;542.9;28.04
ServerExternal;.pdf;1009014;1902.0;486.0;483.0;537.0;599.0;549.0;506.0;572.0;813.0;488.0;693.5;27.305999999999994
ServerExternal;.pdf;1084673;1176.0;452.0;510.0;650.0;1717.0;623.0;746.0;584.0;6281.0;532.0;1327.1;25.125999999999998
ServerExternal;.mp4;2232746;11423.0;1327.0;796.0;982.0;1296.0;895.0;845.0;810.0;2310.0;927.0;2161.1;29.862000000000002
ServerExternal;.pdf;2459010;8633.0;1353.0;924.0;889.0;1356.0;898.0;906.0;940.0;5276.0;1000.0;2217.5;26.108000000000004
ServerExternal;.mp3;3363260;14603.0;2013.0;1506.0;2025.0;2446.0;1531.0;1575.0;1527.0;5052.0;1557.0;3383.5;30.714
ServerExternal;.pdf;3409257;8111.0;2016.0;1411.0;1386.0;4140.0;1767.0;1727.0;1508.0;5533.0;1453.0;2905.2;37.842
ServerExternal;.mp3;4846713;10235.0;4361.0;2266.0;2636.0;2496.0;2162.0;2297.0;2519.0;5843.0;2230.0;3704.5;33.812
ServerExternal;.mp3;4905254;5158.0;3234.0;2482.0;2561.0;2333.0;2469.0;2219.0;2416.0;2741.0;2215.0;2782.8;27.744
ServerExternal;.mp3;5178593;6648.0;3174.0;2780.0;2552.0;2637.0;2484.0;2633.0;2654.0;2891.0;2597.0;3105.0;27.012
ServerExternal;.mp3;5963776;3969.0;3860.0;3418.0;3121.0;4031.0;3096.0;3187.0;3251.0;2962.0;3123.0;3401.8;27.215999999999998
ServerExternal;.mp3;6897963;5178.0;3758.0;3854.0;3474.0;6566.0;3736.0;4315.0;3534.0;4027.0;3687.0;4212.9;49.717999999999996
ServerExternal;.pdf;6947882;4242.0;3901.0;4631.0;3757.0;3532.0;3912.0;4023.0;3582.0;4008.0;3664.0;3925.2;29.706
ServerExternal;.mp3;7522076;4938.0;4966.0;4071.0;4388.0;4293.0;4065.0;4588.0;4547.0;4096.0;4318.0;4427.0;31.594
ServerExternal;.mp3;7700653;4321.0;4789.0;4161.0;4514.0;4024.0;4034.0;4398.0;4216.0;4106.0;4742.0;4330.5;27.441999999999997
ServerExternal;.mp4;7953382;4839.0;4506.0;5761.0;4180.0;5978.0;6240.0;4359.0;4646.0;4601.0;5212.0;5032.2;23.822000000000003
ServerExternal;.mp3;8012705;4184.0;4304.0;4233.0;4177.0;4435.0;4621.0;4655.0;4298.0;4722.0;4428.0;4405.7;29.715999999999998
ServerExternal;.mp4;8297488;4051.0;5684.0;5730.0;4670.0;4667.0;4584.0;4998.0;4603.0;4286.0;4337.0;4761.0;34.903999999999996
ServerExternal;.mp3;9945088;5372.0;5514.0;5780.0;6255.0;5552.0;5250.0;6497.0;5935.0;5427.0;5442.0;5702.4;28.659999999999997
ServerExternal;.iso;238026752;151322.0;142931.0;135963.0;138503.0;139385.0;138022.0;134871.0;135016.0;137327.0;135694.0;138903.4;33.828
ServerExternal;.iso;647823360;395412.0;402492.0;376691.0;375607.0;388347.0;384371.0;385345.0;367637.0;380899.0;376781.0;383358.2;27.151999999999997
