 Tamanho(bytes), Tempo(ms),LarguraDeBanda(kb/s)
62303,101,+ACI-602,40369740099+ACI-
603517,752,+ACI-783,739455202793+ACI-
86564,101,+ACI-836,981745049505+ACI-
86564,100,+ACI-845,3515625+ACI-
62372,67,+ACI-909,106809701492+ACI-
62372,67,+ACI-909,106809701492+ACI-
69598,73,+ACI-931,052011986301+ACI-
62372,65,+ACI-937,079326923077+ACI-
463639,481,+ACI-941,31488760395+ACI-
78311,81,+ACI-944,143036265432+ACI-
463639,478,+ACI-947,222721626569+ACI-
62372,64,+ACI-951,72119140625+ACI-
1009014,997,+ACI-988,33022505015+ACI-
62303,61,+ACI-997,422515368853+ACI-
60606,56,+ACI-1056,884765625+ACI-
107050,96,+ACI-1088,96891276042+ACI-
124105,111,+ACI-1091,85846002252+ACI-
69598,62,+ACI-1096,23865927419+ACI-
78311,67,+ACI-1141,42665578358+ACI-
107050,89,+ACI-1174,61815308989+ACI-
124105,103,+ACI-1176,6630006068+ACI-
78311,63,+ACI-1213,89818948413+ACI-
1084673,866,+ACI-1223,15355261259+ACI-
107050,85,+ACI-1229,89430147059+ACI-
62303,49,+ACI-1241,68925382653+ACI-
573824,436,+ACI-1285,26376146789+ACI-
86564,64,+ACI-1320,86181640625+ACI-
81702,60,+ACI-1329,78515625+ACI-
60606,44,+ACI-1345,12606534091+ACI-
60606,44,+ACI-1345,12606534091+ACI-
124105,89,+ACI-1361,75605688202+ACI-
478886,343,+ACI-1363,44638301749+ACI-
321740,226,+ACI-1390,26202986726+ACI-
78311,55,+ACI-1390,46519886364+ACI-
478886,334,+ACI-1400,18595621257+ACI-
4905254,3390,+ACI-1413,06404406342+ACI-
62303,43,+ACI-1414,94821947674+ACI-
321740,222,+ACI-1415,31179617117+ACI-
78311,54,+ACI-1416,21455439815+ACI-
321740,221,+ACI-1421,7159219457+ACI-
81702,56,+ACI-1424,76981026786+ACI-
405687,278,+ACI-1425,1032767536+ACI-
86564,59,+ACI-1432,79925847458+ACI-
86564,59,+ACI-1432,79925847458+ACI-
86564,59,+ACI-1432,79925847458+ACI-
463639,316,+ACI-1432,8242434731+ACI-
124105,83,+ACI-1460,19625376506+ACI-
321740,215,+ACI-1461,39171511628+ACI-
3363260,2239,+ACI-1466,91987215275+ACI-
321740,214,+ACI-1468,22064836449+ACI-
573824,380,+ACI-1474,67105263158+ACI-
81702,54,+ACI-1477,5390625+ACI-
603517,398,+ACI-1480,83434751884+ACI-
62303,41,+ACI-1483,97008384146+ACI-
62372,41,+ACI-1485,61356707317+ACI-
107050,70,+ACI-1493,44308035714+ACI-
405687,264,+ACI-1500,67693536932+ACI-
848806,552,+ACI-1501,65237205616+ACI-
321740,207,+ACI-1517,87062198068+ACI-
78311,50,+ACI-1529,51171875+ACI-
3363260,2147,+ACI-1529,77810607825+ACI-
2459010,1566,+ACI-1533,44633022031+ACI-
81702,52,+ACI-1534,36748798077+ACI-
86564,55,+ACI-1537,00284090909+ACI-
107050,68,+ACI-1537,36787683824+ACI-
6947882,4398,+ACI-1542,75602901887+ACI-
3363260,2125,+ACI-1545,61580882353+ACI-
603517,380,+ACI-1550,97913240132+ACI-
124105,78,+ACI-1553,79857772436+ACI-
60606,38,+ACI-1557,51439144737+ACI-
62303,39,+ACI-1560,07111378205+ACI-
78311,49,+ACI-1560,72624362245+ACI-
