Tipo; Extensao; Tamanho(bytes); TempoClient(ms); TempoServer(ms)
SERVER_LOCAL;.png;43574;75;25
SERVER_LOCAL;.png;60606;72;0
SERVER_LOCAL;.png;62303;69;1
SERVER_LOCAL;.png;62372;79;0
SERVER_LOCAL;.png;69598;57;0
SERVER_LOCAL;.png;78311;93;0
SERVER_LOCAL;.png;81702;67;0
SERVER_LOCAL;.png;86564;67;1
SERVER_LOCAL;.pdf;107050;119;9
SERVER_LOCAL;.png;124105;158;79
SERVER_LOCAL;.pdf;321740;245;139
SERVER_LOCAL;.pdf;405687;332;200
SERVER_LOCAL;.pdf;463639;385;277
SERVER_LOCAL;.mp4;478886;377;233
SERVER_LOCAL;.pdf;573824;495;266
SERVER_LOCAL;.mp4;603517;452;268
SERVER_LOCAL;.png;848806;689;574
SERVER_LOCAL;.pdf;1009014;803;642
SERVER_LOCAL;.pdf;1084673;779;675
SERVER_LOCAL;.mp4;2232746;1608;1492
SERVER_LOCAL;.pdf;2459010;2027;1892
SERVER_LOCAL;.mp3;3363260;2924;2424
SERVER_LOCAL;.pdf;3409257;2428;2220
SERVER_LOCAL;.mp3;4846713;3453;3226
SERVER_LOCAL;.mp3;4905254;3586;3434
SERVER_LOCAL;.mp3;5178593;3717;3516
SERVER_LOCAL;.mp3;5963776;4318;4106
SERVER_LOCAL;.mp3;6897963;4918;4684
SERVER_LOCAL;.pdf;6947882;5705;4661
SERVER_LOCAL;.mp3;7522076;5268;5074
SERVER_LOCAL;.mp3;7700653;5324;5040
SERVER_LOCAL;.mp4;7953382;5892;5590
SERVER_LOCAL;.mp3;8012705;5698;5377
SERVER_LOCAL;.mp4;8297488;6692;5581
SERVER_LOCAL;.mp3;9945088;7140;6686
SERVER_LOCAL;.iso;238026752;166102;164500
SERVER_LOCAL;.iso;647823360;444739;441963
SERVER_LOCAL;.png;43574;59;11
SERVER_LOCAL;.png;60606;55;1
SERVER_LOCAL;.png;62303;74;1
SERVER_LOCAL;.png;62372;80;1
SERVER_LOCAL;.png;69598;63;0
SERVER_LOCAL;.png;78311;92;0
SERVER_LOCAL;.png;81702;91;0
SERVER_LOCAL;.png;86564;73;0
SERVER_LOCAL;.pdf;107050;102;10
SERVER_LOCAL;.png;124105;111;10
SERVER_LOCAL;.pdf;321740;261;142
SERVER_LOCAL;.pdf;405687;357;186
SERVER_LOCAL;.pdf;463639;343;237
SERVER_LOCAL;.mp4;478886;343;227
SERVER_LOCAL;.pdf;573824;408;317
SERVER_LOCAL;.mp4;603517;425;303
SERVER_LOCAL;.png;848806;626;511
SERVER_LOCAL;.pdf;1009014;731;576
SERVER_LOCAL;.pdf;1084673;986;814
SERVER_LOCAL;.mp4;2232746;1647;1466
SERVER_LOCAL;.pdf;2459010;2332;1575
SERVER_LOCAL;.mp3;3363260;2482;2317
SERVER_LOCAL;.pdf;3409257;2394;2178
SERVER_LOCAL;.mp3;4846713;4369;4193
SERVER_LOCAL;.mp3;4905254;3431;3279
SERVER_LOCAL;.mp3;5178593;4237;4078
SERVER_LOCAL;.mp3;5963776;4137;3949
SERVER_LOCAL;.mp3;6897963;5876;4557
SERVER_LOCAL;.pdf;6947882;4923;4708
SERVER_LOCAL;.mp3;7522076;6729;6538
SERVER_LOCAL;.mp3;7700653;5337;5051
SERVER_LOCAL;.mp4;7953382;5970;5655
SERVER_LOCAL;.mp3;8012705;6352;5962
SERVER_LOCAL;.mp4;8297488;5599;5359
SERVER_LOCAL;.mp3;9945088;7559;7237
SERVER_LOCAL;.iso;238026752;162433;160061
SERVER_LOCAL;.iso;647823360;444297;441965
SERVER_LOCAL;.png;43574;121;13
SERVER_LOCAL;.png;60606;56;0
SERVER_LOCAL;.png;62303;88;1
SERVER_LOCAL;.png;62372;53;1
SERVER_LOCAL;.png;69598;62;0
SERVER_LOCAL;.png;78311;72;0
SERVER_LOCAL;.png;81702;69;0
SERVER_LOCAL;.png;86564;68;0
SERVER_LOCAL;.pdf;107050;118;14
SERVER_LOCAL;.png;124105;112;17
SERVER_LOCAL;.pdf;321740;245;118
SERVER_LOCAL;.pdf;405687;321;201
SERVER_LOCAL;.pdf;463639;339;234
SERVER_LOCAL;.mp4;478886;371;239
SERVER_LOCAL;.pdf;573824;402;283
SERVER_LOCAL;.mp4;603517;499;328
SERVER_LOCAL;.png;848806;624;507
SERVER_LOCAL;.pdf;1009014;762;681
SERVER_LOCAL;.pdf;1084673;772;662
SERVER_LOCAL;.mp4;2232746;1629;1436
SERVER_LOCAL;.pdf;2459010;2297;1795
SERVER_LOCAL;.mp3;3363260;2423;2253
SERVER_LOCAL;.pdf;3409257;2996;2808
SERVER_LOCAL;.mp3;4846713;3445;3328
SERVER_LOCAL;.mp3;4905254;3525;3285
SERVER_LOCAL;.mp3;5178593;3642;3472
SERVER_LOCAL;.mp3;5963776;4190;4000
SERVER_LOCAL;.mp3;6897963;4840;4621
SERVER_LOCAL;.pdf;6947882;6176;5194
SERVER_LOCAL;.mp3;7522076;5381;5209
SERVER_LOCAL;.mp3;7700653;6384;6154
SERVER_LOCAL;.mp4;7953382;5444;5298
SERVER_LOCAL;.mp3;8012705;6997;5221
SERVER_LOCAL;.mp4;8297488;6166;5709
SERVER_LOCAL;.mp3;9945088;6923;6551
SERVER_LOCAL;.iso;238026752;163406;162089
SERVER_LOCAL;.iso;647823360;445637;443238
SERVER_LOCAL;.png;43574;54;10
SERVER_LOCAL;.png;60606;75;0
SERVER_LOCAL;.png;62303;69;1
SERVER_LOCAL;.png;62372;66;0
SERVER_LOCAL;.png;69598;82;0
SERVER_LOCAL;.png;78311;75;0
SERVER_LOCAL;.png;81702;73;0
SERVER_LOCAL;.png;86564;102;0
SERVER_LOCAL;.pdf;107050;99;11
SERVER_LOCAL;.png;124105;101;15
SERVER_LOCAL;.pdf;321740;253;152
SERVER_LOCAL;.pdf;405687;300;173
SERVER_LOCAL;.pdf;463639;324;230
SERVER_LOCAL;.mp4;478886;363;250
SERVER_LOCAL;.pdf;573824;403;299
SERVER_LOCAL;.mp4;603517;462;322
SERVER_LOCAL;.png;848806;608;498
SERVER_LOCAL;.pdf;1009014;721;622
SERVER_LOCAL;.pdf;1084673;743;643
SERVER_LOCAL;.mp4;2232746;1590;1418
SERVER_LOCAL;.pdf;2459010;1714;1563
SERVER_LOCAL;.mp3;3363260;2430;2235
SERVER_LOCAL;.pdf;3409257;2328;2151
SERVER_LOCAL;.mp3;4846713;3295;3117
SERVER_LOCAL;.mp3;4905254;3371;3219
SERVER_LOCAL;.mp3;5178593;3565;3434
SERVER_LOCAL;.mp3;5963776;4152;4023
SERVER_LOCAL;.mp3;6897963;4792;4611
SERVER_LOCAL;.pdf;6947882;5832;4530
SERVER_LOCAL;.mp3;7522076;5344;5129
SERVER_LOCAL;.mp3;7700653;5706;5530
SERVER_LOCAL;.mp4;7953382;5558;5343
SERVER_LOCAL;.mp3;8012705;5455;5231
SERVER_LOCAL;.mp4;8297488;7473;6513
SERVER_LOCAL;.mp3;9945088;6945;6683
SERVER_LOCAL;.iso;238026752;162835;160888
SERVER_LOCAL;.iso;647823360;440424;438549
SERVER_LOCAL;.png;43574;82;12
SERVER_LOCAL;.png;60606;53;0
SERVER_LOCAL;.png;62303;83;1
SERVER_LOCAL;.png;62372;65;1
SERVER_LOCAL;.png;69598;73;0
SERVER_LOCAL;.png;78311;76;1
SERVER_LOCAL;.png;81702;80;1
SERVER_LOCAL;.png;86564;72;0
SERVER_LOCAL;.pdf;107050;132;35
