TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms)
1513860523000;1513860523059;1513860525659;1513860525670;.png;43574;59;11
1513860524082;1513860524137;1513860526733;1513860526734;.png;60606;55;1
1513860525154;1513860525228;1513860527805;1513860527806;.png;62303;74;1
1513860526238;1513860526318;1513860528898;1513860528899;.png;62372;80;1
1513860527334;1513860527397;1513860529985;1513860529985;.png;69598;63;0
1513860528411;1513860528503;1513860531063;1513860531063;.png;78311;92;0
1513860532511;1513860532602;1513860535162;1513860535162;.png;81702;91;0
1513860533609;1513860533682;1513860536260;1513860536260;.png;86564;73;0
1513860534703;1513860534805;1513860537366;1513860537376;.pdf;107050;102;10
1513860535824;1513860535935;1513860538476;1513860538486;.png;124105;111;10
1513860536957;1513860537218;1513860539607;1513860539749;.pdf;321740;261;142
1513860538237;1513860538594;1513860540889;1513860541075;.pdf;405687;357;186
1513860539626;1513860539969;1513860542278;1513860542515;.pdf;463639;343;237
1513860540988;1513860541331;1513860543638;1513860543865;.mp4;478886;343;227
1513860542352;1513860542760;1513860545004;1513860545321;.pdf;573824;408;317
1513860543778;1513860544203;1513860546433;1513860546736;.mp4;603517;425;303
1513860545224;1513860545850;1513860547887;1513860548398;.png;848806;626;511
1513860546876;1513860547607;1513860549528;1513860550104;.pdf;1009014;731;576
1513860548631;1513860549617;1513860551288;1513860552102;.pdf;1084673;986;814
1513860550640;1513860552287;1513860553292;1513860554758;.mp4;2232746;1647;1466
1513860553315;1513860555647;1513860556524;1513860558099;.pdf;2459010;2332;1575
1513860556665;1513860559147;1513860559316;1513860561633;.mp3;3363260;2482;2317
1513860560166;1513860562560;1513860562819;1513860564997;.pdf;3409257;2394;2178
1513860563624;1513860567993;1513860566274;1513860570467;.mp3;4846713;4369;4193
1513860569015;1513860572446;1513860571679;1513860574958;.mp3;4905254;3431;3279
1513860573490;1513860577727;1513860576153;1513860580231;.mp3;5178593;4237;4078
1513860578750;1513860582887;1513860581414;1513860585363;.mp3;5963776;4137;3949
1513860583907;1513860589783;1513860587524;1513860592081;.mp3;6897963;5876;4557
1513860590802;1513860595725;1513860593453;1513860598161;.pdf;6947882;4923;4708
1513860596750;1513860603479;1513860599401;1513860605939;.mp3;7522076;6729;6538
1513860604516;1513860609853;1513860607168;1513860612219;.mp3;7700653;5337;5051
1513860610871;1513860616841;1513860613523;1513860619178;.mp4;7953382;5970;5655
1513860617862;1513860624214;1513860620525;1513860626487;.mp3;8012705;6352;5962
1513860625243;1513860630842;1513860627907;1513860633266;.mp4;8297488;5599;5359
1513860631861;1513860639420;1513860634519;1513860641756;.mp3;9945088;7559;7237
1513860640440;1513860802873;1513860643094;1513860803155;.iso;238026752;162433;160061
1513860803886;1513861248183;1513860807527;1513861249492;.iso;647823360;444297;441965
