Tipo; Extensao; Tamanho(bytes); TT1(ms); TT2(ms); TT3(ms); TT4(ms); TT5(ms); TT6(ms); TT7(ms); TT8(ms); TT9(ms); TT10(ms); TempoMedio(ms)
Client;.png;43574;75.0;59.0;121.0;54.0;82.0;61.0;53.0;51.0;59.0;68.0;68.3
Client;.png;60606;72.0;55.0;56.0;75.0;53.0;55.0;48.0;57.0;67.0;79.0;61.7
Client;.png;62303;69.0;74.0;88.0;69.0;83.0;61.0;81.0;60.0;158.0;89.0;83.2
Client;.png;62372;79.0;80.0;53.0;66.0;65.0;56.0;56.0;69.0;71.0;67.0;66.2
Client;.png;69598;57.0;63.0;62.0;82.0;73.0;56.0;61.0;81.0;66.0;62.0;66.3
Client;.png;78311;93.0;92.0;72.0;75.0;76.0;76.0;90.0;113.0;89.0;113.0;88.9
Client;.png;81702;67.0;91.0;69.0;73.0;80.0;70.0;67.0;76.0;78.0;69.0;74.0
Client;.png;86564;67.0;73.0;68.0;102.0;72.0;78.0;107.0;73.0;81.0;87.0;80.8
Client;.pdf;107050;119.0;102.0;118.0;99.0;132.0;102.0;109.0;106.0;100.0;99.0;108.6
Client;.png;124105;158.0;111.0;112.0;101.0;105.0;107.0;96.0;113.0;99.0;97.0;109.9
Client;.pdf;321740;245.0;261.0;245.0;253.0;237.0;231.0;276.0;238.0;242.0;250.0;247.8
Client;.pdf;405687;332.0;357.0;321.0;300.0;361.0;316.0;319.0;317.0;334.0;328.0;328.5
Client;.pdf;463639;385.0;343.0;339.0;324.0;342.0;342.0;334.0;356.0;336.0;360.0;346.1
Client;.mp4;478886;377.0;343.0;371.0;363.0;442.0;349.0;348.0;361.0;371.0;369.0;369.4
Client;.pdf;573824;495.0;408.0;402.0;403.0;413.0;476.0;407.0;404.0;424.0;476.0;430.8
Client;.mp4;603517;452.0;425.0;499.0;462.0;494.0;441.0;413.0;426.0;469.0;437.0;451.8
Client;.png;848806;689.0;626.0;624.0;608.0;616.0;589.0;694.0;603.0;628.0;623.0;630.0
Client;.pdf;1009014;803.0;731.0;762.0;721.0;723.0;805.0;775.0;784.0;716.0;785.0;760.5
Client;.pdf;1084673;779.0;986.0;772.0;743.0;814.0;851.0;795.0;755.0;800.0;843.0;813.8
Client;.mp4;2232746;1608.0;1647.0;1629.0;1590.0;1580.0;1591.0;1617.0;1525.0;1633.0;1634.0;1605.4
Client;.pdf;2459010;2027.0;2332.0;2297.0;1714.0;1704.0;1800.0;1755.0;2185.0;1810.0;2041.0;1966.5
Client;.mp3;3363260;2924.0;2482.0;2423.0;2430.0;3309.0;2377.0;3440.0;2895.0;2809.0;2344.0;2743.3
Client;.pdf;3409257;2428.0;2394.0;2996.0;2328.0;2418.0;2776.0;2345.0;2450.0;2582.0;2468.0;2518.5
Client;.mp3;4846713;3453.0;4369.0;3445.0;3295.0;3400.0;3348.0;3350.0;3366.0;3762.0;3449.0;3523.7
Client;.mp3;4905254;3586.0;3431.0;3525.0;3371.0;3457.0;3459.0;3437.0;3431.0;3667.0;3487.0;3485.1
Client;.mp3;5178593;3717.0;4237.0;3642.0;3565.0;3662.0;3742.0;3663.0;3545.0;3730.0;3699.0;3720.2
Client;.mp3;5963776;4318.0;4137.0;4190.0;4152.0;4112.0;4125.0;4201.0;4180.0;4140.0;4608.0;4216.3
Client;.mp3;6897963;4918.0;5876.0;4840.0;4792.0;4718.0;4868.0;4788.0;4803.0;5486.0;4708.0;4979.7
Client;.pdf;6947882;5705.0;4923.0;6176.0;5832.0;5515.0;5115.0;5432.0;5363.0;7089.0;5075.0;5622.5
Client;.mp3;7522076;5268.0;6729.0;5381.0;5344.0;5290.0;5314.0;5279.0;5090.0;5535.0;5226.0;5445.6
Client;.mp3;7700653;5324.0;5337.0;6384.0;5706.0;5556.0;5408.0;5765.0;5206.0;5471.0;5267.0;5542.4
Client;.mp4;7953382;5892.0;5970.0;5444.0;5558.0;5802.0;5521.0;5556.0;5522.0;6175.0;5628.0;5706.8
Client;.mp3;8012705;5698.0;6352.0;6997.0;5455.0;6112.0;5561.0;5597.0;5749.0;5730.0;5484.0;5873.5
Client;.mp4;8297488;6692.0;5599.0;6166.0;7473.0;6304.0;6240.0;6777.0;6157.0;7207.0;6237.0;6485.2
Client;.mp3;9945088;7140.0;7559.0;6923.0;6945.0;6825.0;6841.0;7062.0;6850.0;6996.0;7193.0;7033.4
Client;.iso;238026752;166102.0;162433.0;163406.0;162835.0;162688.0;160501.0;161295.0;160130.0;172869.0;163374.0;163563.3
Client;.iso;647823360;444739.0;444297.0;445637.0;440424.0;440571.0;436945.0;478541.0;440478.0;440087.0;481049.0;449276.8
