Tipo; Extensao; Tamanho(bytes); TT1(ms); TT2(ms); TT3(ms); TT4(ms); TT5(ms); TT6(ms); TT7(ms); TT8(ms); TT9(ms); TT10(ms); TempoMedio(ms)
ServerLocal;.png;43574;25.0;11.0;13.0;10.0;12.0;12.0;11.0;12.0;11.0;11.0;12.8
ServerLocal;.png;60606;0.0;1.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.3
ServerLocal;.png;62303;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.6
ServerLocal;.png;62372;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.3
ServerLocal;.png;69598;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.2
ServerLocal;.png;78311;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;1.0;0.3
ServerLocal;.png;81702;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.2
ServerLocal;.png;86564;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1
ServerLocal;.pdf;107050;9.0;10.0;14.0;11.0;35.0;14.0;10.0;32.0;27.0;29.0;19.1
ServerLocal;.png;124105;79.0;10.0;17.0;15.0;14.0;11.0;11.0;22.0;14.0;17.0;21.0
ServerLocal;.pdf;321740;139.0;142.0;118.0;152.0;108.0;142.0;146.0;91.0;144.0;130.0;131.2
ServerLocal;.pdf;405687;200.0;186.0;201.0;173.0;216.0;219.0;220.0;207.0;200.0;213.0;203.5
ServerLocal;.pdf;463639;277.0;237.0;234.0;230.0;215.0;237.0;217.0;231.0;235.0;238.0;235.1
ServerLocal;.mp4;478886;233.0;227.0;239.0;250.0;196.0;240.0;229.0;174.0;235.0;229.0;225.2
ServerLocal;.pdf;573824;266.0;317.0;283.0;299.0;297.0;359.0;323.0;283.0;272.0;384.0;308.3
ServerLocal;.mp4;603517;268.0;303.0;328.0;322.0;339.0;281.0;314.0;250.0;318.0;272.0;299.5
ServerLocal;.png;848806;574.0;511.0;507.0;498.0;497.0;430.0;582.0;499.0;519.0;503.0;512.0
ServerLocal;.pdf;1009014;642.0;576.0;681.0;622.0;617.0;580.0;600.0;610.0;607.0;709.0;624.4
ServerLocal;.pdf;1084673;675.0;814.0;662.0;643.0;710.0;738.0;672.0;589.0;675.0;600.0;677.8
ServerLocal;.mp4;2232746;1492.0;1466.0;1436.0;1418.0;1455.0;1449.0;1476.0;1393.0;1480.0;1511.0;1457.6
ServerLocal;.pdf;2459010;1892.0;1575.0;1795.0;1563.0;1565.0;1615.0;1555.0;2003.0;1652.0;1654.0;1686.9
ServerLocal;.mp3;3363260;2424.0;2317.0;2253.0;2235.0;2201.0;2160.0;2384.0;2285.0;2368.0;2190.0;2281.7
ServerLocal;.pdf;3409257;2220.0;2178.0;2808.0;2151.0;2248.0;2642.0;2164.0;2308.0;2402.0;2266.0;2338.7
ServerLocal;.mp3;4846713;3226.0;4193.0;3328.0;3117.0;3258.0;3153.0;3190.0;3216.0;3595.0;3258.0;3353.4
ServerLocal;.mp3;4905254;3434.0;3279.0;3285.0;3219.0;3331.0;3310.0;3268.0;3226.0;3481.0;3235.0;3306.8
ServerLocal;.mp3;5178593;3516.0;4078.0;3472.0;3434.0;3475.0;3512.0;3413.0;3400.0;3512.0;3557.0;3536.9
ServerLocal;.mp3;5963776;4106.0;3949.0;4000.0;4023.0;3932.0;3877.0;3992.0;4016.0;3938.0;4413.0;4024.6
ServerLocal;.mp3;6897963;4684.0;4557.0;4621.0;4611.0;4548.0;4659.0;4562.0;4561.0;5160.0;4519.0;4648.2
ServerLocal;.pdf;6947882;4661.0;4708.0;5194.0;4530.0;4689.0;4535.0;4686.0;4667.0;5820.0;4535.0;4802.5
ServerLocal;.mp3;7522076;5074.0;6538.0;5209.0;5129.0;5034.0;5111.0;5021.0;4820.0;4959.0;4949.0;5184.4
ServerLocal;.mp3;7700653;5040.0;5051.0;6154.0;5530.0;5384.0;5114.0;5324.0;4981.0;5171.0;4955.0;5270.4
ServerLocal;.mp4;7953382;5590.0;5655.0;5298.0;5343.0;5309.0;5239.0;5394.0;5278.0;5908.0;5412.0;5442.6
ServerLocal;.mp3;8012705;5377.0;5962.0;5221.0;5231.0;5886.0;5262.0;5342.0;5553.0;5431.0;5139.0;5440.4
ServerLocal;.mp4;8297488;5581.0;5359.0;5709.0;6513.0;5753.0;6011.0;5735.0;5439.0;6091.0;5551.0;5774.2
ServerLocal;.mp3;9945088;6686.0;7237.0;6551.0;6683.0;6529.0;6600.0;6904.0;6375.0;6555.0;6898.0;6701.8
ServerLocal;.iso;238026752;164500.0;160061.0;162089.0;160888.0;160349.0;158665.0;159458.0;158921.0;170488.0;162807.0;161822.6
ServerLocal;.iso;647823360;441963.0;441965.0;443238.0;438549.0;438623.0;435042.0;474975.0;438640.0;438139.0;478524.0;446965.8
