Tipo; Extensao; Tamanho(bytes); TempoClient(ms); TempoServer(ms); RTT(ms)
SERVER_LOCAL;.png;43574;22;20;4.316
SERVER_LOCAL;.png;60606;22;34;2.196
SERVER_LOCAL;.png;62303;12;41;2.17
SERVER_LOCAL;.png;62372;15;36;2.728
SERVER_LOCAL;.png;69598;12;39;2.844
SERVER_LOCAL;.png;78311;14;55;2.368
SERVER_LOCAL;.png;81702;28;60;2.824
SERVER_LOCAL;.png;86564;27;59;2.504
SERVER_LOCAL;.pdf;107050;51;85;1.9940000000000002
SERVER_LOCAL;.png;124105;39;78;2.59
SERVER_LOCAL;.pdf;321740;169;215;3.182
SERVER_LOCAL;.pdf;405687;169;247;2.418
SERVER_LOCAL;.pdf;463639;420;478;2.338
SERVER_LOCAL;.mp4;478886;259;298;68.704
SERVER_LOCAL;.pdf;573824;306;330;2.358
SERVER_LOCAL;.mp4;603517;333;352;2.7660000000000005
SERVER_LOCAL;.png;848806;392;423;2.996
SERVER_LOCAL;.pdf;1009014;549;573;2.056
SERVER_LOCAL;.pdf;1084673;547;579;2.316
SERVER_LOCAL;.mp4;2232746;1114;1138;2.3840000000000003
SERVER_LOCAL;.pdf;2459010;1356;1160;2.0980000000000003
SERVER_LOCAL;.mp3;3363260;1653;1698;3.146
SERVER_LOCAL;.pdf;3409257;1691;1776;3.396
SERVER_LOCAL;.mp3;4846713;2478;2507;2.7039999999999997
SERVER_LOCAL;.mp3;4905254;2400;2488;2.112
SERVER_LOCAL;.mp3;5178593;2628;2684;2.4979999999999998
SERVER_LOCAL;.mp3;5963776;2982;3044;4.18
SERVER_LOCAL;.mp3;6897963;3516;3537;2.418
SERVER_LOCAL;.pdf;6947882;3585;3648;2.182
SERVER_LOCAL;.mp3;7522076;4116;3776;2.336
SERVER_LOCAL;.mp3;7700653;3860;4031;2.788
SERVER_LOCAL;.mp4;7953382;4120;4212;4.148
SERVER_LOCAL;.mp3;8012705;4201;4242;2.8280000000000003
SERVER_LOCAL;.mp4;8297488;4318;4394;2.272
SERVER_LOCAL;.mp3;9945088;5015;5209;2.46
SERVER_LOCAL;.iso;238026752;106105;106115;3.556
SERVER_LOCAL;.iso;647823360;307463;307035;2.738
SERVER_LOCAL;.png;43574;22;4;4.378
SERVER_LOCAL;.png;60606;3;32;2.154
SERVER_LOCAL;.png;62303;4;33;2.11
SERVER_LOCAL;.png;62372;6;31;3.558
SERVER_LOCAL;.png;69598;5;39;3.2060000000000004
SERVER_LOCAL;.png;78311;35;67;2.1119999999999997
SERVER_LOCAL;.png;81702;5;45;2.8839999999999995
SERVER_LOCAL;.png;86564;6;41;2.6020000000000003
SERVER_LOCAL;.pdf;107050;19;66;1.9620000000000002
SERVER_LOCAL;.png;124105;25;76;3.3480000000000003
SERVER_LOCAL;.pdf;321740;165;222;2.368
SERVER_LOCAL;.pdf;405687;241;278;2.006
SERVER_LOCAL;.pdf;463639;291;316;2.528
SERVER_LOCAL;.mp4;478886;253;274;3.4879999999999995
SERVER_LOCAL;.pdf;573824;247;292;2.508
SERVER_LOCAL;.mp4;603517;364;398;1.966
SERVER_LOCAL;.png;848806;435;451;3.5520000000000005
SERVER_LOCAL;.pdf;1009014;544;567;3.6419999999999995
SERVER_LOCAL;.pdf;1084673;553;581;2.036
SERVER_LOCAL;.mp4;2232746;1095;1138;2.95
SERVER_LOCAL;.pdf;2459010;1242;1271;2.098
SERVER_LOCAL;.mp3;3363260;2288;2125;2.158
SERVER_LOCAL;.pdf;3409257;1672;1751;3.8259999999999996
SERVER_LOCAL;.mp3;4846713;2452;2483;2.07
SERVER_LOCAL;.mp3;4905254;2450;2556;3.25
SERVER_LOCAL;.mp3;5178593;2614;2637;2.7380000000000004
SERVER_LOCAL;.mp3;5963776;2929;3064;5.76
SERVER_LOCAL;.mp3;6897963;3480;3616;2.498
SERVER_LOCAL;.pdf;6947882;3627;3663;2.79
SERVER_LOCAL;.mp3;7522076;4172;3843;2.7980000000000005
SERVER_LOCAL;.mp3;7700653;3969;4066;2.438
SERVER_LOCAL;.mp4;7953382;4013;4172;2.022
