TimestampInicialClient(ms); TimestampFinalClient(ms); TimestampInicialGo(ms); TimestampFinalGo(ms); Extensao; Tamanho(bytes); TempoClient(ms); TempoGo(ms); RTT
1513798983849;1513798983856;1513798985948;1513798985953;.png;43574;7;5;4.798
1513798985059;1513798985066;1513798986217;1513798986245;.png;60606;7;28;2.27
1513798986318;1513798986320;1513798987476;1513798987537;.png;62303;2;61;5.726
1513798987557;1513798987560;1513798988713;1513798988740;.png;62372;3;27;1.9920000000000002
1513798988772;1513798988776;1513798989929;1513798989969;.png;69598;4;40;1.97
1513798990016;1513798990019;1513798991169;1513798991223;.png;78311;3;54;2.214
1513798991241;1513798991246;1513798992403;1513798992445;.png;81702;5;42;2.348
1513798992459;1513798992464;1513798993615;1513798993670;.png;86564;5;55;2.088
1513798993699;1513798993706;1513798994865;1513798994916;.pdf;107050;7;51;2.332
1513798994921;1513798994928;1513798996077;1513798996160;.png;124105;7;83;2.026
1513798996172;1513798996316;1513798997329;1513798997508;.pdf;321740;144;179;2.082
1513798997549;1513798997738;1513798998712;1513798998928;.pdf;405687;189;216;2.1160000000000005
1513798998984;1513798999207;1513799000143;1513799000401;.pdf;463639;223;258;3.882
1513799000443;1513799000713;1513799001599;1513799001895;.mp4;478886;270;296;1.996
1513799001987;1513799002342;1513799003146;1513799003526;.pdf;573824;355;380;2.472
1513799003629;1513799003954;1513799004789;1513799005141;.mp4;603517;325;352;2.0940000000000003
1513799005214;1513799005658;1513799006375;1513799006848;.png;848806;444;473;3.682
1513799006909;1513799007413;1513799008086;1513799008595;.pdf;1009014;504;509;3.714
1513799008684;1513799009232;1513799009847;1513799010419;.pdf;1084673;548;572;2.1819999999999995
1513799010464;1513799011571;1513799011621;1513799012779;.mp4;2232746;1107;1158;2.12
1513799012825;1513799014000;1513799013985;1513799015194;.pdf;2459010;1175;1209;2.856
1513799015239;1513799017366;1513799016937;1513799018580;.mp3;3363260;2127;1643;2.79
1513799018615;1513799020357;1513799019771;1513799021556;.pdf;3409257;1742;1785;2.5380000000000003
1513799021605;1513799024258;1513799022765;1513799025469;.mp3;4846713;2653;2704;2.7439999999999998
1513799025514;1513799028764;1513799026674;1513799030064;.mp3;4905254;3250;3390;2.774
1513799030101;1513799032970;1513799031260;1513799034131;.mp3;5178593;2869;2871;3.082
1513799034278;1513799037340;1513799035440;1513799038640;.mp3;5963776;3062;3200;5.526
1513799038590;1513799042026;1513799039753;1513799043334;.mp3;6897963;3436;3581;4.188000000000001
1513799043275;1513799046958;1513799044435;1513799048141;.pdf;6947882;3683;3706;2.8020000000000005
1513799048258;1513799052525;1513799049938;1513799053841;.mp3;7522076;4267;3903;2.8839999999999995
1513799053829;1513799057746;1513799054988;1513799059081;.mp3;7700653;3917;4093;2.002
1513799059001;1513799062995;1513799060158;1513799064327;.mp4;7953382;3994;4169;2.5900000000000003
1513799064263;1513799068400;1513799065421;1513799069627;.mp3;8012705;4137;4206;2.46
1513799069685;1513799074039;1513799070843;1513799075259;.mp4;8297488;4354;4416;3.9860000000000007
1513799075306;1513799080895;1513799076479;1513799082106;.mp3;9945088;5589;5627;3.182
1513799082185;1513799193350;1513799083937;1513799194751;.iso;238026752;111165;110814;5.224
1513799194595;1513799502509;1513799195940;1513799503752;.iso;647823360;307914;307812;2.114
