Tipo; Extensao; Tamanho(bytes); TT1(ms); TT2(ms); TT3(ms); TT4(ms); TT5(ms); TT6(ms); TT7(ms); TT8(ms); TT9(ms); TT10(ms); TempoMedio(ms)
Client;.png;43574;22.0;22.0;14.0;7.0;21.0;7.0;22.0;29.0;12.0;53.0;20.9
Client;.png;60606;22.0;3.0;7.0;7.0;7.0;7.0;3.0;6.0;5.0;6.0;7.3
Client;.png;62303;12.0;4.0;7.0;7.0;58.0;2.0;3.0;6.0;5.0;4.0;10.8
Client;.png;62372;15.0;6.0;11.0;4.0;4.0;3.0;6.0;9.0;3.0;8.0;6.9
Client;.png;69598;12.0;5.0;6.0;5.0;5.0;4.0;5.0;7.0;4.0;8.0;6.1
Client;.png;78311;14.0;35.0;17.0;5.0;6.0;3.0;5.0;7.0;8.0;6.0;10.6
Client;.png;81702;28.0;5.0;5.0;5.0;26.0;5.0;4.0;7.0;9.0;5.0;9.9
Client;.png;86564;27.0;6.0;8.0;5.0;6.0;5.0;7.0;7.0;7.0;8.0;8.6
Client;.pdf;107050;51.0;19.0;10.0;6.0;5.0;7.0;10.0;9.0;7.0;11.0;13.5
Client;.png;124105;39.0;25.0;19.0;6.0;5.0;7.0;9.0;7.0;10.0;10.0;13.7
Client;.pdf;321740;169.0;165.0;129.0;168.0;136.0;144.0;154.0;142.0;138.0;141.0;148.6
Client;.pdf;405687;169.0;241.0;182.0;170.0;196.0;189.0;172.0;184.0;181.0;185.0;186.9
Client;.pdf;463639;420.0;291.0;224.0;198.0;202.0;223.0;214.0;431.0;210.0;210.0;262.3
Client;.mp4;478886;259.0;253.0;258.0;286.0;268.0;270.0;260.0;253.0;205.0;237.0;254.9
Client;.pdf;573824;306.0;247.0;258.0;345.0;317.0;355.0;414.0;296.0;298.0;262.0;309.8
Client;.mp4;603517;333.0;364.0;305.0;362.0;342.0;325.0;308.0;326.0;297.0;608.0;357.0
Client;.png;848806;392.0;435.0;520.0;451.0;402.0;444.0;451.0;466.0;466.0;436.0;446.3
Client;.pdf;1009014;549.0;544.0;562.0;974.0;494.0;504.0;500.0;514.0;555.0;519.0;571.5
Client;.pdf;1084673;547.0;553.0;578.0;815.0;555.0;548.0;542.0;492.0;587.0;560.0;577.7
Client;.mp4;2232746;1114.0;1095.0;1157.0;1916.0;1116.0;1107.0;1156.0;1199.0;1116.0;1150.0;1212.6
Client;.pdf;2459010;1356.0;1242.0;1538.0;1247.0;1228.0;1175.0;1241.0;1249.0;1290.0;1472.0;1303.8
Client;.mp3;3363260;1653.0;2288.0;2485.0;1930.0;2239.0;2127.0;2080.0;2996.0;1867.0;1674.0;2133.9
Client;.pdf;3409257;1691.0;1672.0;1734.0;1867.0;1701.0;1742.0;2007.0;1687.0;1671.0;1656.0;1742.8
Client;.mp3;4846713;2478.0;2452.0;2500.0;2427.0;2459.0;2653.0;2975.0;2467.0;2670.0;2451.0;2553.2
Client;.mp3;4905254;2400.0;2450.0;2553.0;2462.0;2533.0;3250.0;2515.0;2603.0;2852.0;2451.0;2606.9
Client;.mp3;5178593;2628.0;2614.0;2748.0;2591.0;2828.0;2869.0;2662.0;2637.0;2553.0;2621.0;2675.1
Client;.mp3;5963776;2982.0;2929.0;2979.0;2861.0;3095.0;3062.0;3582.0;3061.0;3061.0;2973.0;3058.5
Client;.mp3;6897963;3516.0;3480.0;3674.0;3332.0;3501.0;3436.0;3501.0;3627.0;3547.0;3448.0;3506.2
Client;.pdf;6947882;3585.0;3627.0;3845.0;3811.0;3541.0;3683.0;4263.0;3395.0;3514.0;3605.0;3686.9
Client;.mp3;7522076;4116.0;4172.0;4629.0;3732.0;4305.0;4267.0;4260.0;4173.0;4553.0;4027.0;4223.4
Client;.mp3;7700653;3860.0;3969.0;4094.0;3872.0;3868.0;3917.0;3788.0;4015.0;3872.0;4094.0;3934.9
Client;.mp4;7953382;4120.0;4013.0;4154.0;4248.0;4401.0;3994.0;4267.0;4082.0;4207.0;4191.0;4167.7
Client;.mp3;8012705;4201.0;4090.0;4099.0;4424.0;4333.0;4137.0;4116.0;4119.0;4183.0;4290.0;4199.2
Client;.mp4;8297488;4318.0;4278.0;4465.0;4643.0;4561.0;4354.0;4337.0;4416.0;4515.0;4387.0;4427.4
Client;.mp3;9945088;5015.0;5157.0;5093.0;5566.0;5378.0;5589.0;5283.0;5317.0;5358.0;5898.0;5365.4
Client;.iso;238026752;106105.0;112512.0;111337.0;112402.0;111364.0;111165.0;115573.0;111448.0;113093.0;109849.0;111484.8
Client;.iso;647823360;307463.0;298795.0;312255.0;288154.0;295828.0;307914.0;305420.0;313790.0;290607.0;308699.0;302892.5
