Tipo; Extensao; Tamanho(bytes); TT1(ms); TT2(ms); TT3(ms); TT4(ms); TT5(ms); TT6(ms); TT7(ms); TT8(ms); TT9(ms); TT10(ms); TempoMedio(ms); RTTMedio(ms)
ServerLocal;.png;43574;20.0;4.0;5.0;5.0;5.0;5.0;7.0;5.0;4.0;14.0;7.4;12.5658
ServerLocal;.png;60606;34.0;32.0;33.0;36.0;44.0;28.0;28.0;44.0;38.0;56.0;37.3;2.4557999999999995
ServerLocal;.png;62303;41.0;33.0;39.0;38.0;101.0;61.0;43.0;36.0;35.0;49.0;47.6;2.9872
ServerLocal;.png;62372;36.0;31.0;41.0;64.0;67.0;27.0;65.0;36.0;27.0;67.0;46.1;2.4972
ServerLocal;.png;69598;39.0;39.0;36.0;36.0;29.0;40.0;40.0;35.0;73.0;62.0;42.9;2.5788
ServerLocal;.png;78311;55.0;67.0;44.0;49.0;63.0;54.0;81.0;50.0;49.0;48.0;56.0;2.392
ServerLocal;.png;81702;60.0;45.0;46.0;52.0;56.0;42.0;46.0;54.0;46.0;43.0;49.0;2.3671999999999995
ServerLocal;.png;86564;59.0;41.0;40.0;59.0;51.0;55.0;64.0;101.0;59.0;100.0;62.9;2.5888
ServerLocal;.pdf;107050;85.0;66.0;96.0;61.0;62.0;51.0;68.0;63.0;70.0;89.0;71.1;2.9838
ServerLocal;.png;124105;78.0;76.0;74.0;59.0;76.0;83.0;103.0;75.0;111.0;89.0;82.4;2.518
ServerLocal;.pdf;321740;215.0;222.0;168.0;226.0;185.0;179.0;207.0;214.0;221.0;182.0;201.9;2.3926
ServerLocal;.pdf;405687;247.0;278.0;218.0;264.0;212.0;216.0;211.0;210.0;220.0;216.0;229.2;2.3182
ServerLocal;.pdf;463639;478.0;316.0;246.0;250.0;246.0;258.0;275.0;481.0;252.0;253.0;305.5;7.731999999999999
ServerLocal;.mp4;478886;298.0;274.0;278.0;334.0;292.0;296.0;298.0;343.0;257.0;250.0;292.0;9.781399999999998
ServerLocal;.pdf;573824;330.0;292.0;305.0;357.0;344.0;380.0;436.0;329.0;318.0;308.0;339.9;4.2212000000000005
ServerLocal;.mp4;603517;352.0;398.0;339.0;380.0;369.0;352.0;343.0;356.0;326.0;752.0;396.7;2.6084000000000005
ServerLocal;.png;848806;423.0;451.0;552.0;520.0;443.0;473.0;480.0;493.0;468.0;460.0;476.3;2.7161999999999997
ServerLocal;.pdf;1009014;573.0;567.0;566.0;997.0;521.0;509.0;520.0;515.0;554.0;536.0;585.8;2.7458
ServerLocal;.pdf;1084673;579.0;581.0;626.0;866.0;558.0;572.0;563.0;525.0;604.0;564.0;603.8;2.633
ServerLocal;.mp4;2232746;1138.0;1138.0;1177.0;1118.0;1158.0;1158.0;1219.0;1197.0;1125.0;1173.0;1160.1;2.897
ServerLocal;.pdf;2459010;1160.0;1271.0;1566.0;1305.0;1289.0;1209.0;1268.0;1314.0;1347.0;1228.0;1295.7;2.4686
ServerLocal;.mp3;3363260;1698.0;2125.0;1616.0;2239.0;1670.0;1643.0;1751.0;2147.0;1695.0;1747.0;1833.1;3.4468000000000005
ServerLocal;.pdf;3409257;1776.0;1751.0;1770.0;1925.0;1788.0;1785.0;2014.0;1759.0;1741.0;1736.0;1804.5;3.4132
ServerLocal;.mp3;4846713;2507.0;2483.0;2544.0;2432.0;2539.0;2704.0;3019.0;2538.0;2759.0;2520.0;2604.5;2.5942
ServerLocal;.mp3;4905254;2488.0;2556.0;2625.0;2513.0;2585.0;3390.0;2580.0;2613.0;2885.0;2511.0;2674.6;31.500600000000002
ServerLocal;.mp3;5178593;2684.0;2637.0;2838.0;2652.0;2871.0;2871.0;2695.0;2691.0;2656.0;2738.0;2733.3;3.2576
ServerLocal;.mp3;5963776;3044.0;3064.0;3072.0;2971.0;3134.0;3200.0;3675.0;3093.0;3195.0;3091.0;3153.9;3.3899999999999997
ServerLocal;.mp3;6897963;3537.0;3616.0;3795.0;3411.0;3592.0;3581.0;3600.0;3688.0;3655.0;3590.0;3606.5;2.8484000000000003
ServerLocal;.pdf;6947882;3648.0;3663.0;3933.0;3357.0;3622.0;3706.0;4398.0;3508.0;3582.0;3610.0;3702.7;2.4686000000000003
ServerLocal;.mp3;7522076;3776.0;3843.0;4453.0;3821.0;3850.0;3903.0;3866.0;3811.0;3871.0;3780.0;3897.4;2.5050000000000003
ServerLocal;.mp3;7700653;4031.0;4066.0;4255.0;4039.0;4020.0;4093.0;3952.0;4064.0;4054.0;4209.0;4078.3;2.6192
ServerLocal;.mp4;7953382;4212.0;4172.0;4250.0;4335.0;4471.0;4169.0;4413.0;4254.0;4268.0;4269.0;4281.3;4.618
ServerLocal;.mp3;8012705;4242.0;4268.0;4249.0;4578.0;4430.0;4206.0;4200.0;4195.0;4303.0;4374.0;4304.5;2.5794
ServerLocal;.mp4;8297488;4394.0;4405.0;4537.0;4774.0;4611.0;4416.0;4493.0;4536.0;4541.0;4420.0;4512.7;8.535400000000001
ServerLocal;.mp3;9945088;5209.0;5289.0;5200.0;5598.0;5556.0;5627.0;5350.0;5309.0;5406.0;5925.0;5446.9;2.7421999999999995
ServerLocal;.iso;238026752;106115.0;112535.0;110649.0;112925.0;110952.0;110814.0;114940.0;111080.0;112773.0;109180.0;111196.3;12.223600000000001
ServerLocal;.iso;647823360;307035.0;298705.0;312382.0;287717.0;295688.0;307812.0;304698.0;313645.0;290485.0;308239.0;302640.6;2.866
